#lab INRiM MICa
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7 
#d 1.0
#N 20
#dbm 5
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
194.600000	2.853000	-88.624210	2.351524
194.800000	2.847000	-89.899370	2.273720
195.000000	2.807000	-91.189890	2.136561
195.200000	2.804000	-93.606220	2.312184
195.400000	2.830000	-95.188230	2.194550
195.600000	2.857000	-97.387380	2.240222
195.800000	2.802000	-99.414640	2.530852
196.000000	2.809000	-101.478400	2.549177
196.200000	2.840000	-104.524400	2.225066
196.400000	2.856000	-108.280100	2.259733
196.600000	2.822000	-112.605400	2.262288
196.800000	2.815000	-120.418800	2.183006
197.000000	2.850000	-124.362400	2.373400
197.200000	2.851000	-126.907900	2.104591
197.400000	2.809000	-128.523700	2.225516
197.600000	2.804000	-130.237900	2.364595
197.800000	2.856000	-132.452100	1.926951
198.000000	2.839000	-133.740400	2.361532
198.200000	2.803000	-136.697300	2.227756
198.400000	2.809000	-139.501400	2.247324
198.600000	2.841000	-143.355600	2.297070
198.800000	2.856000	-145.710100	2.094599
199.000000	2.802000	-148.813200	2.109745
199.200000	2.817000	-150.808700	2.001205
199.400000	2.852000	-153.463700	2.215871
199.600000	2.849000	-156.062800	2.381281
199.800000	2.807000	-160.553100	2.333624
200.000000	2.805000	-166.895300	2.018298
200.200000	2.857000	-174.563300	2.373748
200.400000	2.837000	-181.683900	2.466177
200.600000	2.801000	-188.175700	2.279931
200.800000	2.810000	-195.289700	2.439871
201.000000	2.843000	-201.184900	2.143794
201.200000	2.823000	-208.563400	2.654307
201.400000	2.801000	-215.424100	2.270363
201.600000	2.817000	-221.993000	2.279165
201.800000	2.851000	-227.651200	2.690677
202.000000	2.848000	-233.567300	2.126218
202.200000	2.803000	-238.927900	2.477345
202.400000	2.825000	-245.889400	2.781161
202.600000	2.856000	-259.148800	2.334910
202.800000	2.840000	-270.881000	2.619729
203.000000	2.803000	-276.483900	2.348339
203.200000	2.808000	-280.813500	2.351913
203.400000	2.857000	-285.035300	2.617788
203.600000	2.827000	-289.141500	2.259981
203.800000	2.800000	-293.002700	2.281727
204.000000	2.814000	-296.661300	2.464196
204.200000	2.849000	-301.464400	2.088151
204.400000	2.812000	-305.400900	2.428129
204.600000	2.802000	-310.638400	2.571266
204.800000	2.824000	-315.988900	1.995909
205.000000	2.856000	-321.828900	2.668466
205.200000	2.840000	-329.158000	2.133930
205.400000	2.802000	-339.640700	2.319875
205.600000	2.835000	-352.650800	2.630551
205.800000	2.856000	-363.814900	2.054913
206.000000	2.825000	-373.723200	2.717825
206.200000	2.801000	-381.975000	2.307938
206.400000	2.816000	-390.824700	2.270464
206.600000	2.852000	-398.121100	2.421899
206.800000	2.810000	-405.476800	2.589260
207.000000	2.803000	-412.130200	2.465440
207.200000	2.827000	-418.516700	2.516156
207.400000	2.857000	-425.701800	2.462446
207.600000	2.837000	-432.043800	2.524143
207.800000	2.807000	-441.837000	2.351331
208.000000	2.838000	-453.379900	2.290072
208.200000	2.856000	-469.374100	2.473643
208.400000	2.823000	-482.719600	2.292984
208.600000	2.801000	-494.888500	2.297322
208.800000	2.848000	-504.702800	2.546584
209.000000	2.852000	-514.290900	2.552419
209.200000	2.811000	-524.087200	2.383792
209.400000	2.803000	-533.352000	2.421280
209.600000	2.825000	-543.721000	2.627048
209.800000	2.844000	-557.928100	3.465797
210.000000	2.804000	-569.287600	2.572700
210.200000	2.806000	-587.595500	2.557377
210.400000	2.835000	-612.379100	2.669269
210.600000	2.857000	-638.388100	2.511846
210.800000	2.826000	-661.492300	2.377114
211.000000	2.813000	-682.493800	2.850498
211.200000	2.847000	-701.755700	2.243030
211.400000	2.853000	-720.827900	2.532759
211.600000	2.813000	-739.211500	2.916402
211.800000	2.803000	-759.657900	2.215227
212.000000	2.855000	-780.633700	2.957905
212.200000	2.842000	-804.512900	2.300575
212.400000	2.803000	-826.630600	2.377081
212.600000	2.807000	-848.689800	2.676896
212.800000	2.838000	-871.385900	2.289344
213.000000	2.856000	-894.595000	2.720676
213.200000	2.801000	-919.388700	4.119352
213.400000	2.813000	-942.519200	2.048919
213.600000	2.848000	-960.586700	2.656784
213.800000	2.852000	-980.052500	2.237142
214.000000	2.810000	-1001.319000	2.507255
214.200000	2.822000	-1026.322000	2.542922
214.400000	2.856000	-1053.722000	2.134120
214.600000	2.840000	-1081.914000	2.839290
214.800000	2.802000	-1108.999000	2.561038
215.000000	2.808000	-1136.280000	2.649684
215.000000	2.857000	-1135.092000	3.054445
214.800000	2.826000	-1108.163000	2.234529
214.600000	2.800000	-1080.758000	2.647027
214.400000	2.814000	-1053.351000	2.134395
214.200000	2.849000	-1026.391000	2.729902
214.000000	2.850000	-1001.286000	2.889778
213.800000	2.802000	-979.599300	1.917571
213.600000	2.823000	-960.089300	2.570495
213.400000	2.856000	-942.231400	2.730060
213.200000	2.840000	-924.077500	2.759362
213.000000	2.802000	-904.576900	2.947559
212.800000	2.834000	-884.123400	2.526988
212.600000	2.857000	-859.629000	2.541068
212.400000	2.827000	-832.706300	2.964297
212.200000	2.800000	-801.274600	2.349430
212.000000	2.813000	-772.342500	2.477227
211.800000	2.848000	-747.375000	2.690045
211.600000	2.814000	-728.196900	2.261914
211.400000	2.802000	-710.152700	2.769647
211.200000	2.822000	-694.711700	2.758830
211.000000	2.855000	-678.911900	2.239581
210.800000	2.843000	-664.380600	2.843927
210.600000	2.805000	-649.378300	2.310217
210.400000	2.832000	-632.303400	2.294798
210.200000	2.856000	-610.944700	2.733582
210.000000	2.831000	-586.113200	1.955174
209.800000	2.801000	-567.842300	2.472077
209.600000	2.842000	-553.941900	2.482457
209.400000	2.854000	-542.603500	2.199434
209.200000	2.818000	-531.372600	2.437769
209.000000	2.801000	-520.075000	2.338156
208.800000	2.820000	-509.587000	2.247460
208.600000	2.853000	-497.081600	2.500274
208.400000	2.807000	-484.967200	2.369354
208.200000	2.804000	-473.027000	2.185402
208.000000	2.830000	-460.896500	2.286322
207.800000	2.857000	-449.566800	2.538843
207.600000	2.831000	-437.441800	2.626120
207.400000	2.808000	-427.325400	2.290790
207.200000	2.841000	-417.855400	2.488721
207.000000	2.854000	-408.882900	2.485532
206.800000	2.818000	-399.727600	2.352002
206.600000	2.801000	-389.137700	2.515918
206.400000	2.851000	-379.573100	2.534381
206.200000	2.848000	-369.990200	2.747275
206.000000	2.807000	-362.490500	2.540481
205.800000	2.803000	-355.108400	2.273993
205.600000	2.827000	-349.152900	2.828069
205.400000	2.856000	-341.728900	2.146767
205.200000	2.801000	-333.073700	2.331982
205.000000	2.807000	-324.249200	2.664838
204.800000	2.839000	-315.831600	2.161557
204.600000	2.855000	-310.598400	2.418114
204.400000	2.820000	-304.692700	2.268447
204.200000	2.815000	-300.758100	2.573866
204.000000	2.849000	-295.715300	2.552230
203.800000	2.849000	-292.207400	2.386581
203.600000	2.808000	-287.974100	2.744149
203.400000	2.803000	-283.191800	2.339493
203.200000	2.827000	-279.563200	2.318296
203.000000	2.839000	-273.238600	2.543452
202.800000	2.802000	-269.296600	2.411658
202.600000	2.807000	-260.723400	2.222058
202.400000	2.839000	-250.517600	2.412058
202.200000	2.855000	-241.510500	2.338600
202.000000	2.800000	-234.085800	2.379090
201.800000	2.814000	-228.109900	2.337881
201.600000	2.849000	-220.637900	2.367016
201.400000	2.850000	-215.133500	2.310545
201.200000	2.809000	-202.789700	4.814405
201.000000	2.802000	-194.010500	2.356405
200.800000	2.854000	-188.762300	2.310306
200.600000	2.842000	-185.051400	2.165143
200.400000	2.802000	-180.685400	2.360594
200.200000	2.805000	-177.192100	2.312437
200.000000	2.835000	-172.110900	2.144579
199.800000	2.831000	-166.340700	2.308701
199.600000	2.800000	-158.511200	2.490111
199.400000	2.810000	-151.972300	2.194434
199.200000	2.844000	-148.204100	2.228302
199.000000	2.853000	-145.357600	2.392932
198.800000	2.800000	-143.794200	2.065733
198.600000	2.818000	-140.702600	2.347462
198.400000	2.852000	-139.071400	2.296801
198.200000	2.846000	-136.067300	2.293194
198.000000	2.805000	-134.523400	2.422269
197.800000	2.804000	-132.393600	2.095178
197.600000	2.856000	-130.639500	2.086579
197.400000	2.834000	-128.948900	2.179327
197.200000	2.800000	-126.844200	1.965776
197.000000	2.809000	-124.717700	2.109504
196.800000	2.842000	-112.821000	2.188097
196.600000	2.820000	-108.752200	2.296071
196.400000	2.800000	-106.008300	2.220088
196.200000	2.816000	-104.176800	2.161187
196.000000	2.850000	-101.963700	2.471117
195.800000	2.847000	-100.436400	2.033710
195.600000	2.802000	-98.466640	1.922303
195.400000	2.826000	-97.178490	2.258343
195.200000	2.856000	-94.949100	2.049439
195.000000	2.834000	-93.468340	2.073504
194.800000	2.800000	-91.667230	2.404445
194.600000	2.809000	-89.775340	2.238885
194.400000	2.854000	-84.110160	2.068534
194.200000	2.820000	-81.078610	2.504885
194.000000	2.800000	-79.465770	2.190770
193.800000	2.817000	-77.739530	2.198149
193.600000	2.851000	-75.795700	2.202311
193.400000	2.808000	-74.674850	2.294157
193.200000	2.802000	-73.287200	2.219084
193.000000	2.826000	-72.228580	2.240119
192.800000	2.855000	-70.444190	2.016842
192.600000	2.835000	-69.576890	2.263884
192.400000	2.800000	-67.875950	2.145607
