#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new_b
#t 2.7
#d 1.5
#V -295
#
#Time	Temp	Current
# s	K	pA	
552.523233	148.629000	-11.170440
554.523192	148.581000	-10.601970
556.524449	148.546000	-11.000610
558.524055	148.508000	-11.137410
560.525357	148.508000	-11.044790
562.526031	148.460000	-11.050660
564.527302	148.437000	-11.596440
566.526982	148.409000	-11.076400
568.526814	148.409000	-11.172060
570.527673	148.378000	-10.657490
572.527677	148.352000	-11.039110
574.527761	148.317000	-11.754720
576.527956	148.317000	-11.235290
578.527985	148.280000	-11.345530
580.527973	148.245000	-10.629930
582.527761	148.223000	-11.424170
584.528166	148.223000	-11.335600
586.529570	148.188000	-10.971410
588.529296	148.157000	-10.592030
590.528917	148.131000	-10.981550
592.529141	148.089000	-11.409170
594.528904	148.089000	-11.503810
596.529276	148.051000	-10.291480
598.529274	148.016000	-11.523270
600.530347	147.982000	-12.304540
602.529861	147.982000	-11.734850
604.531604	147.945000	-11.288990
606.532293	147.918000	-11.645280
608.532784	147.879000	-15.368420
610.532999	147.849000	-11.041740
612.533249	147.849000	-11.602510
614.533607	147.814000	-10.853470
616.532965	147.773000	-10.293500
618.533246	147.740000	-11.539290
620.533614	147.740000	-11.208130
622.532878	147.707000	-10.966350
624.533128	147.659000	-10.895010
626.533320	147.628000	-10.583120
628.534574	147.628000	-10.679990
630.534124	147.594000	-10.898870
632.533932	147.555000	-12.021210
634.535625	147.531000	-11.461250
636.534747	147.531000	-10.529810
638.534839	147.496000	-10.800970
640.535460	147.456000	-11.315340
642.536636	147.422000	-11.515770
644.537402	147.390000	-11.518200
646.537322	147.390000	-10.272430
648.537057	147.361000	-10.392410
650.536897	147.333000	-11.192120
652.536990	147.312000	-11.712560
654.537483	147.312000	-11.498340
656.536732	147.280000	-10.591630
658.536809	147.247000	-10.969390
660.537460	147.227000	-10.983570
662.538660	147.185000	-10.731860
664.538581	147.185000	-11.128480
666.537669	147.151000	-14.580460
668.538902	147.120000	-14.835410
670.539267	147.083000	-14.218910
672.538786	147.083000	-10.673500
674.539487	147.048000	-15.300320
676.539187	147.018000	-14.597690
678.540686	146.984000	-11.122200
680.541575	146.984000	-10.479960
682.540705	146.948000	-10.394840
684.541959	146.928000	-11.140640
686.542128	146.898000	-11.109430
688.541706	146.865000	-11.060180
690.542432	146.865000	-10.828130
692.542104	146.840000	-11.141460
694.541953	146.791000	-10.965540
696.542087	146.751000	-10.736120
698.541946	146.751000	-11.327300
700.542222	146.719000	-11.124220
702.542498	146.676000	-10.867650
704.541857	146.647000	-10.991880
706.541781	146.647000	-10.698220
708.541712	146.607000	-11.034250
710.543589	146.575000	-11.295270
712.544325	146.542000	-11.349990
714.544397	146.508000	-10.778880
716.544390	146.508000	-10.712610
718.544598	146.469000	-10.889340
720.545546	146.445000	-11.216240
722.544825	146.420000	-11.240760
724.545217	146.420000	-11.260210
726.544962	146.388000	-11.168610
728.545500	146.364000	-10.903730
730.545809	146.334000	-11.031810
732.546287	146.334000	-10.849610
734.546388	146.300000	-10.938990
736.546038	146.263000	-11.352020
738.545749	146.239000	-11.021680
740.547487	146.204000	-10.719710
742.547556	146.204000	-10.998570
744.547064	146.172000	-10.899670
746.547145	146.151000	-11.428630
748.546911	146.126000	-11.152800
750.548313	146.126000	-11.308450
752.548738	146.096000	-10.718080
754.548846	146.075000	-10.512780
756.548717	146.048000	-10.983370
758.549956	146.048000	-11.221500
760.551408	146.020000	-11.117330
762.551452	145.996000	-11.943390
764.550846	145.957000	-11.230820
766.552601	145.919000	-11.572110
768.552084	145.919000	-11.645880
770.552186	145.891000	-11.489420
772.553480	145.850000	-11.055320
774.553323	145.825000	-12.123360
776.553607	145.825000	-12.629610
778.552937	145.801000	-12.301500
780.553575	145.758000	-11.535630
782.554584	145.722000	-12.110180
784.553817	145.722000	-11.429630
786.555549	145.688000	-11.605140
788.555153	145.646000	-10.789620
790.555049	145.607000	-11.505640
792.554821	145.578000	-12.675000
794.554735	145.578000	-11.706070
796.555367	145.534000	-11.602920
798.555381	145.502000	-11.381400
800.556564	145.480000	-11.982910
802.557594	145.480000	-11.680330
804.557104	145.447000	-11.825640
806.556906	145.413000	-12.277180
808.557631	145.381000	-11.761400
810.556821	145.381000	-12.209490
812.556841	145.337000	-11.704040
814.556849	145.315000	-11.153000
816.557268	145.284000	-11.655400
818.558514	145.242000	-12.070460
820.558351	145.242000	-10.908590
822.557760	145.209000	-11.756130
824.558475	145.174000	-11.062810
826.557993	145.130000	-12.577930
828.557770	145.130000	-11.574130
830.557758	145.102000	-10.529400
832.559202	145.071000	-10.802800
834.558900	145.030000	-11.686210
836.558780	145.030000	-10.978710
838.558927	144.992000	-10.677750
840.558830	144.968000	-10.903930
842.559342	144.929000	-12.342640
844.558794	144.891000	-12.656360
846.559261	144.891000	-11.429030
848.559701	144.851000	-11.378360
850.561288	144.817000	-12.528280
852.560695	144.789000	-12.118490
854.562498	144.789000	-10.624450
856.561669	144.757000	-10.607830
858.562181	144.715000	-11.753900
860.562674	144.675000	-12.102680
862.562862	144.675000	-10.810900
864.564507	144.654000	-11.598860
866.565610	144.615000	-11.494890
868.566295	144.575000	-12.556240
870.565904	144.539000	-11.236500
872.566076	144.539000	-10.801380
874.566503	144.493000	-12.282240
876.566406	144.475000	-11.540890
878.566440	144.444000	-11.823200
880.566878	144.444000	-10.784550
882.567561	144.397000	-11.885220
884.568222	144.370000	-11.305000
