#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
345.200000	-13.989750	0.380334
345.400000	-14.167160	0.353178
345.600000	-14.225480	0.260950
345.800000	-14.361590	0.315299
346.000000	-14.580020	0.331980
346.200000	-14.686900	0.412300
346.400000	-14.772780	0.359215
346.600000	-15.626390	0.379062
346.800000	-18.447210	0.308642
347.000000	-21.631900	0.283143
347.200000	-22.929260	0.386224
347.400000	-23.250360	0.469403
347.600000	-23.481630	0.402288
347.800000	-23.632780	0.382819
348.000000	-23.647610	0.254163
348.200000	-23.751290	0.393566
348.400000	-24.049380	0.414553
348.600000	-24.099140	0.484089
348.800000	-24.253930	0.403875
349.000000	-24.482500	0.444998
349.200000	-24.895900	0.298410
349.400000	-24.908160	0.421115
349.600000	-25.183140	0.425656
349.800000	-25.252070	0.450191
350.000000	-25.263360	0.318245
350.200000	-25.690060	0.333040
350.400000	-25.740020	0.379833
350.600000	-25.947250	0.374669
350.800000	-26.012900	0.401978
351.000000	-26.025890	0.374641
351.200000	-26.070890	0.380059
351.400000	-26.219060	0.468445
351.600000	-26.441350	0.406171
351.800000	-26.598780	0.371173
352.000000	-27.065020	0.390901
352.200000	-27.127510	0.469414
352.400000	-27.159690	0.380347
352.600000	-27.400710	0.357289
352.800000	-27.494210	0.349461
353.000000	-27.629650	0.303065
353.200000	-27.949930	0.321306
353.400000	-28.041270	0.337749
353.600000	-28.168570	0.363384
353.800000	-29.522150	0.363414
354.000000	-29.815190	0.368008
354.200000	-30.044350	0.387069
354.400000	-30.112350	0.313815
354.600000	-30.254280	0.304419
354.800000	-30.386750	0.301444
355.000000	-30.557020	0.421496
355.200000	-30.627480	0.411082
355.400000	-31.240070	0.321645
355.600000	-31.586900	0.290492
355.800000	-31.870830	0.324873
356.000000	-31.956870	0.314421
356.200000	-32.024380	0.400517
356.400000	-32.126050	0.437011
356.600000	-32.420070	0.272065
356.800000	-32.512130	0.263735
357.000000	-32.848490	0.403155
357.200000	-33.003620	0.374153
357.400000	-33.174790	0.467088
357.600000	-33.230890	0.491237
357.800000	-34.130880	0.324069
358.000000	-43.197620	0.343843
358.200000	-49.353190	0.457903
358.400000	-50.255940	0.352566
358.600000	-50.379120	0.365753
358.800000	-50.613440	0.406438
359.000000	-50.844250	0.278458
359.200000	-51.449220	0.329949
359.400000	-52.043220	0.338322
359.600000	-52.269820	0.305810
359.800000	-52.941310	0.334683
360.000000	-53.030510	0.353160
360.200000	-53.166260	0.295731
360.400000	-53.669780	0.358339
360.600000	-53.798990	0.353009
360.800000	-54.229540	0.294362
361.000000	-54.461560	0.305921
361.200000	-55.167940	0.350333
361.400000	-56.104370	0.292648
361.600000	-58.467150	0.247020
361.800000	-59.091370	0.291330
362.000000	-59.434180	0.311027
362.200000	-59.608580	0.334185
362.400000	-61.036900	0.323636
362.600000	-61.996340	0.324594
362.800000	-62.318150	0.287418
363.000000	-62.874650	0.288635
363.200000	-63.321260	0.296423
363.400000	-65.336010	0.386280
363.600000	-65.709290	0.309018
363.800000	-66.339650	0.311860
364.000000	-67.731120	0.329327
364.200000	-68.605670	0.323186
364.400000	-69.011550	0.349653
364.600000	-69.303580	0.362314
364.800000	-69.762640	0.343168
365.000000	-70.750830	0.310941
365.200000	-72.110400	0.329586
365.400000	-74.978580	0.382005
365.600000	-75.311050	0.307352
365.800000	-76.345920	0.387241
366.000000	-78.319770	0.399666
366.200000	-78.810030	0.318178
366.400000	-79.612000	0.285472
366.600000	-80.855200	0.350035
366.800000	-81.445880	0.366203
367.000000	-82.551200	0.368511
367.200000	-82.786720	0.435346
367.400000	-83.552570	0.353295
367.600000	-85.465350	0.288300
367.800000	-86.127240	0.384831
368.000000	-86.264760	0.380584
368.200000	-86.935920	0.388994
368.400000	-87.816310	0.343242
368.600000	-88.522830	0.282312
368.800000	-89.225650	0.341240
369.000000	-116.376700	0.356682
369.200000	-131.999400	0.452025
369.400000	-137.883300	0.373397
369.600000	-139.702900	0.308038
369.800000	-140.713400	0.485427
370.000000	-142.410000	0.479650
370.200000	-142.826300	0.413823
370.400000	-143.409400	0.357336
370.600000	-144.234800	0.411414
370.800000	-146.831700	0.392457
371.000000	-148.965000	0.403231
371.200000	-150.239400	0.513728
371.400000	-151.062700	0.434603
371.600000	-152.437400	0.398817
371.800000	-152.925300	0.384457
372.000000	-153.648300	0.393647
372.200000	-154.007800	0.407415
372.400000	-155.031900	0.421864
372.600000	-158.052300	0.411920
372.800000	-160.985000	0.389184
373.000000	-163.261600	0.371271
373.200000	-164.407600	0.353735
373.400000	-165.212100	0.371956
373.600000	-166.595700	0.433205
373.800000	-167.071800	0.414895
374.000000	-169.697700	0.460370
374.200000	-173.007000	0.347902
374.400000	-178.418000	0.479499
374.600000	-183.091600	0.415614
374.800000	-185.892900	0.423688
375.000000	-188.757500	0.302774
375.200000	-191.161200	0.340111
375.400000	-192.917900	0.586403
375.600000	-194.090000	0.338492
375.800000	-195.807700	0.421712
376.000000	-197.268500	0.346994
376.200000	-198.487200	0.335300
376.400000	-199.694200	0.453665
376.600000	-201.272900	0.392274
376.800000	-203.524900	0.380438
377.000000	-205.544900	0.402941
