#lab INRiM MiCb 30mK
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#V 90
#
#Time	Temp	Current
# s	K	pA	
372.026358	179.794000	98999999999999984800000000000000000000000000000000.000000
377.025977	177.831800	98999999999999984800000000000000000000000000000000.000000
382.025707	176.875400	98999999999999984800000000000000000000000000000000.000000
387.025687	177.796300	98999999999999984800000000000000000000000000000000.000000
392.025612	178.313100	98999999999999984800000000000000000000000000000000.000000
397.026296	178.318300	98999999999999984800000000000000000000000000000000.000000
402.027259	179.228800	98999999999999984800000000000000000000000000000000.000000
407.027252	177.251100	98999999999999984800000000000000000000000000000000.000000
412.027920	178.934500	98999999999999984800000000000000000000000000000000.000000
417.029433	178.275000	98999999999999984800000000000000000000000000000000.000000
422.028946	177.708900	98999999999999984800000000000000000000000000000000.000000
427.029922	177.592100	98999999999999984800000000000000000000000000000000.000000
432.029990	177.122100	98999999999999984800000000000000000000000000000000.000000
437.030749	178.413500	98999999999999984800000000000000000000000000000000.000000
442.030642	177.195700	98999999999999984800000000000000000000000000000000.000000
447.031167	178.101900	98999999999999984800000000000000000000000000000000.000000
452.031368	178.488300	98999999999999984800000000000000000000000000000000.000000
457.031461	177.656600	98999999999999984800000000000000000000000000000000.000000
462.031519	176.183400	98999999999999984800000000000000000000000000000000.000000
467.030622	176.846000	98999999999999984800000000000000000000000000000000.000000
472.031417	178.497400	98999999999999984800000000000000000000000000000000.000000
477.031013	175.676600	98999999999999984800000000000000000000000000000000.000000
482.031420	177.388700	98999999999999984800000000000000000000000000000000.000000
487.032132	176.765100	98999999999999984800000000000000000000000000000000.000000
492.032197	175.607000	98999999999999984800000000000000000000000000000000.000000
497.033286	177.326400	98999999999999984800000000000000000000000000000000.000000
502.033204	177.818800	98999999999999984800000000000000000000000000000000.000000
507.032650	176.431400	98999999999999984800000000000000000000000000000000.000000
512.034457	176.601000	98999999999999984800000000000000000000000000000000.000000
517.034549	178.221300	98999999999999984800000000000000000000000000000000.000000
522.033774	177.493800	98999999999999984800000000000000000000000000000000.000000
527.034100	176.731700	98999999999999984800000000000000000000000000000000.000000
532.033943	176.567300	98999999999999984800000000000000000000000000000000.000000
537.034212	176.123700	98999999999999984800000000000000000000000000000000.000000
542.035262	176.871100	98999999999999984800000000000000000000000000000000.000000
547.034836	177.339300	98999999999999984800000000000000000000000000000000.000000
552.034577	176.848600	98999999999999984800000000000000000000000000000000.000000
557.035211	175.764900	98999999999999984800000000000000000000000000000000.000000
562.035735	176.362600	98999999999999984800000000000000000000000000000000.000000
567.035930	177.034700	98999999999999984800000000000000000000000000000000.000000
572.035586	175.674500	98999999999999984800000000000000000000000000000000.000000
