#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7
#d 0.5
#V -150
#
#Time	Temp	Current
# s	K	pA	
425.105097	2.768000	-581.980100
426.104546	2.763000	-580.386100
427.105986	2.763000	-583.265300
428.105385	2.808000	-583.002500
429.105814	2.808000	-583.303700
430.105274	2.808000	-580.735500
431.105702	2.760000	-580.495000
432.106133	2.760000	-578.300200
433.105532	2.778000	-577.831200
434.106960	2.778000	-549.827700
435.106422	2.778000	-578.374800
436.106839	2.801000	-577.668000
437.106281	2.801000	-572.940200
438.106680	2.756000	-576.203200
439.107142	2.756000	-580.923800
440.106538	2.792000	-578.454200
441.107000	2.792000	-578.103100
442.106399	2.792000	-575.259500
443.106857	2.790000	-574.886700
444.106257	2.790000	-577.196100
445.106690	2.754000	-576.523800
446.107146	2.754000	-577.198300
447.106575	2.754000	-576.646400
448.107007	2.803000	-576.307800
449.106435	2.803000	-577.909100
450.106866	2.777000	-578.880600
451.106263	2.777000	-567.419600
452.106699	2.756000	-580.460000
453.107154	2.756000	-576.239400
454.106583	2.756000	-577.086500
455.107980	2.808000	-577.517000
456.107442	2.808000	-570.768300
457.107871	2.767000	-577.814400
458.107301	2.767000	-576.741300
459.107698	2.767000	-575.234100
460.109128	2.764000	-577.140900
461.108558	2.764000	-578.150600
462.108991	2.808000	-577.485400
463.108417	2.808000	-576.264800
464.108876	2.760000	-575.264100
465.108307	2.760000	-574.850200
466.108730	2.760000	-578.070400
467.110134	2.779000	-577.572000
468.109595	2.779000	-573.327300
469.110993	2.801000	-573.450600
470.110455	2.801000	-577.804000
471.111900	2.801000	-575.463200
472.111353	2.756000	-575.844500
473.111764	2.756000	-573.784700
474.112191	2.793000	-573.699300
475.111650	2.793000	-577.181300
476.112067	2.789000	-577.592600
477.111498	2.789000	-574.617700
478.112926	2.789000	-576.236600
479.112338	2.754000	-575.398000
480.112796	2.754000	-577.282600
481.112226	2.804000	-576.563600
482.112657	2.804000	-576.390500
483.114055	2.804000	-575.226000
484.113486	2.777000	-574.812000
485.114916	2.777000	-576.354200
486.114343	2.756000	-575.811600
487.114773	2.756000	-578.163800
488.116204	2.809000	-576.024000
489.115633	2.809000	-574.630200
490.117058	2.809000	-577.094500
491.116492	2.767000	-575.901100
492.116941	2.767000	-577.883200
493.116378	2.764000	-576.322000
494.116777	2.764000	-575.558400
495.118206	2.764000	-575.684500
496.117667	2.808000	-576.100600
497.119089	2.808000	-575.741200
498.118518	2.760000	-575.961100
499.118955	2.760000	-576.857800
500.118386	2.778000	-574.791700
