#lab INRiM MiCb 30mK plate
#hv keithley6487
#s CNTArO2Etching_N1new
#t 
#d 0.5
#N 20
#dbm 2
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
56.200000	3.419000	144.516100	6.572058
56.400000	3.398000	163.072100	11.076110
56.600000	3.415000	183.917400	9.905508
56.800000	3.425000	193.261700	8.416769
57.000000	3.424000	213.241700	9.689071
57.200000	3.397000	225.461800	10.446130
57.400000	3.413000	250.002400	8.523553
57.600000	3.424000	273.378900	10.907590
57.800000	3.422000	294.831200	16.368740
58.000000	3.394000	313.343600	7.763712
58.200000	3.411000	348.936900	9.562214
58.400000	3.422000	381.238400	8.803991
58.600000	3.420000	411.595400	14.449390
58.800000	3.418000	439.501000	10.238530
59.000000	3.419000	466.476400	10.841060
59.200000	3.411000	524.077100	12.407000
59.400000	3.392000	556.898000	12.098260
59.600000	3.418000	601.858100	8.051801
59.800000	3.419000	642.126000	8.489460
60.000000	3.410000	696.503200	14.766410
60.200000	3.391000	749.147400	8.588379
60.400000	3.415000	795.289700	11.046160
60.600000	3.417000	856.423900	11.419620
60.800000	3.408000	929.757000	11.427180
61.000000	3.390000	998.367900	9.453895
61.000000	3.410000	994.764200	8.083365
60.800000	3.393000	922.585300	11.032040
60.600000	3.370000	855.783600	13.727790
60.400000	3.354000	795.869200	7.688426
60.200000	3.408000	750.048200	7.446274
60.000000	3.391000	691.461100	8.541100
59.800000	3.368000	645.112500	10.515060
59.600000	3.351000	593.364300	9.866730
59.400000	3.406000	561.564600	10.318890
59.200000	3.389000	523.817900	4.437934
59.000000	3.366000	460.959600	10.720420
58.800000	3.350000	431.350200	9.935225
58.600000	3.370000	404.361300	8.441498
58.400000	3.352000	383.757100	9.461058
58.200000	3.345000	339.417400	8.101580
58.000000	3.346000	320.197200	7.367342
57.800000	3.369000	288.636800	8.624487
57.600000	3.350000	274.483500	8.574118
57.400000	3.343000	245.366000	9.206472
57.200000	3.345000	223.300900	8.072257
57.000000	3.377000	209.653200	10.517770
56.800000	3.343000	190.860800	6.540571
56.600000	3.348000	181.789600	5.272889
56.400000	3.357000	158.078100	9.877506
56.200000	3.401000	144.584600	6.181486
56.000000	3.406000	132.230100	11.308650
55.800000	3.366000	120.303000	6.824723
55.600000	3.383000	101.471600	10.298950
55.400000	3.398000	80.592450	11.768420
55.200000	3.405000	77.301140	10.036670
55.000000	3.364000	60.638370	5.216473
54.800000	3.380000	51.899390	13.058150
54.600000	3.396000	49.720140	7.545796
54.400000	3.402000	38.237800	11.469090
54.200000	3.393000	36.533230	7.816197
54.000000	3.401000	32.380260	10.240150
53.800000	3.397000	23.188400	8.762714
53.600000	3.383000	21.842240	13.195440
53.400000	3.390000	25.362450	8.090191
53.200000	3.399000	17.049550	3.715733
53.000000	3.396000	15.802130	10.257750
52.800000	3.382000	20.365080	5.674792
52.600000	3.389000	14.136230	12.199200
52.400000	3.397000	12.697950	10.792940
52.200000	3.395000	9.184497	8.788295
52.000000	3.382000	12.833730	8.485914
51.800000	3.395000	8.817861	9.517302
51.600000	3.384000	10.223290	10.778410
51.400000	3.364000	7.244921	7.480373
51.200000	3.343000	6.412255	6.105256
51.000000	3.394000	9.564788	8.366566
50.800000	3.383000	1.232770	7.720029
50.600000	3.364000	8.636667	8.992488
50.400000	3.343000	3.964875	9.106407
50.200000	3.393000	5.574199	8.569255
50.000000	3.383000	2.798326	8.673286
49.800000	3.363000	0.657426	14.703110
49.600000	3.341000	3.870266	11.389490
49.400000	3.367000	3.712428	13.049380
49.200000	3.346000	1.014091	12.355760
49.000000	3.329000	2.439484	17.685040
48.800000	3.325000	1.266254	11.677480
48.600000	3.369000	3.576082	13.660590
48.400000	3.347000	2.549567	8.821373
48.200000	3.329000	3.339200	12.348130
48.000000	3.323000	-2.759850	9.767426
47.800000	3.369000	2.102360	12.806690
47.600000	3.346000	4.443911	8.325281
47.400000	3.328000	3.318789	7.783521
47.200000	3.321000	-2.150100	10.546750
47.000000	3.330000	3.225679	11.310430
46.800000	3.321000	-2.942233	10.678130
46.600000	3.322000	1.949455	10.238480
46.400000	3.327000	0.367175	10.940220
46.200000	3.329000	-2.164048	8.603795
46.000000	3.319000	3.815751	10.066110
45.800000	3.319000	-3.209928	15.530280
45.600000	3.325000	-3.137317	13.484600
45.400000	3.330000	0.478689	11.707550
45.200000	3.318000	-3.681246	7.955279
45.000000	3.317000	1.593903	8.404307
44.800000	3.322000	1.505953	7.715354
44.600000	3.331000	0.728203	10.046280
44.400000	3.319000	-2.291276	10.208410
44.200000	3.327000	-3.855919	8.246885
44.000000	3.339000	-0.319182	7.569024
43.800000	3.356000	0.995268	9.065181
43.600000	3.317000	-0.586665	7.892708
43.400000	3.323000	0.400478	7.044241
43.200000	3.336000	-1.356752	9.438688
43.000000	3.352000	-3.016458	9.324853
42.800000	3.314000	2.486802	6.526938
42.600000	3.320000	4.518234	5.785450
42.400000	3.332000	-1.033043	7.587598
42.200000	3.348000	-4.195453	10.307530
42.000000	3.328000	-1.816719	10.219030
41.800000	3.344000	1.922146	7.468298
41.600000	3.362000	-2.730835	5.660103
41.400000	3.372000	0.303110	10.192130
41.200000	3.326000	-2.327673	11.035340
41.000000	3.341000	1.566751	5.249244
40.800000	3.358000	1.910582	9.287014
40.600000	3.369000	2.868576	8.992157
40.400000	3.322000	0.562204	7.427404
40.200000	3.337000	-0.849696	7.925826
40.000000	3.354000	2.961555	8.506795
39.800000	3.367000	1.399990	6.723875
39.600000	3.350000	-3.071257	9.347024
39.400000	3.364000	3.805446	9.162514
39.200000	3.369000	-2.197053	6.966673
39.000000	3.362000	1.285142	8.487773
38.800000	3.348000	2.803023	9.939375
38.600000	3.363000	-1.721025	11.564060
38.400000	3.367000	2.627350	7.716126
38.200000	3.360000	-3.089614	7.889800
38.000000	3.346000	3.591657	8.237268
37.800000	3.360000	-1.006893	13.343510
37.600000	3.365000	2.852033	5.526206
37.400000	3.358000	2.877741	7.132192
37.200000	3.364000	3.111401	8.406405
