#lab INRiM MiCa
#hv keithley6487
#s CNTArO2Etching_AsGrown
#t 2.7 
#d 1.5
#N 20
#dbm 2
#
#Voltage	Current	SD
#V	pA
337.000000	-5.988520	0.341270
337.200000	-6.003435	0.321819
337.400000	-6.139802	0.358265
337.600000	-7.001752	0.302542
337.800000	-9.824828	0.351455
338.000000	-9.949126	0.383015
338.200000	-9.977710	0.344421
338.400000	-10.052950	0.328866
338.600000	-10.109160	0.338785
338.800000	-10.177960	0.360474
339.000000	-10.261730	0.379935
339.200000	-10.301320	0.367231
339.400000	-10.725420	0.354352
339.600000	-10.753670	0.369491
339.800000	-10.794820	0.307046
340.000000	-10.899610	0.404502
340.200000	-10.949900	0.390378
340.400000	-11.101120	0.374891
340.600000	-11.320340	0.370497
340.800000	-11.403840	0.371031
341.000000	-11.495340	0.397507
341.200000	-12.012850	0.387357
341.400000	-12.120410	0.387019
341.600000	-12.160830	0.347187
341.800000	-12.363550	0.400877
342.000000	-12.407290	0.298161
342.200000	-12.439770	0.322753
342.400000	-12.545030	0.356241
342.600000	-12.754190	0.403755
342.800000	-13.041150	0.337796
343.000000	-13.142540	0.360204
343.200000	-13.186840	0.342511
343.400000	-13.245820	0.307963
343.600000	-13.321790	0.341137
343.800000	-13.406490	0.330543
344.000000	-13.474230	0.362478
344.200000	-13.517480	0.398359
344.400000	-13.821850	0.352220
344.600000	-13.825780	0.311537
344.800000	-13.870430	0.384076
345.000000	-13.971820	0.352636
345.200000	-14.043090	0.384388
345.400000	-14.135520	0.359169
345.600000	-14.244110	0.341518
345.800000	-14.459070	0.351988
346.000000	-14.614690	0.381605
346.200000	-14.774820	0.356901
346.400000	-14.799650	0.369773
346.600000	-14.840420	0.340793
346.800000	-16.264970	0.337036
347.000000	-18.678280	0.307625
347.200000	-22.428930	0.348853
347.400000	-22.936180	0.348761
347.600000	-23.409510	0.325909
347.800000	-23.608940	0.325636
348.000000	-23.626410	0.334702
348.200000	-23.686110	0.347649
348.400000	-24.025110	0.396172
348.600000	-24.203370	0.352955
348.800000	-24.322210	0.300576
349.000000	-24.373700	0.321086
349.200000	-24.823960	0.343994
349.400000	-24.900170	0.380622
349.600000	-25.064150	0.385497
349.800000	-25.179650	0.279934
350.000000	-25.209500	0.306534
350.200000	-25.344630	0.343563
350.400000	-25.675600	0.344921
350.600000	-25.769210	0.372387
350.800000	-25.915690	0.360663
351.000000	-25.945120	0.307273
351.200000	-26.046720	0.358135
351.400000	-26.130220	0.318018
351.600000	-26.336000	0.361477
351.800000	-26.423940	0.383794
352.000000	-26.877430	0.319633
352.200000	-27.006710	0.292452
352.400000	-27.077190	0.352927
352.600000	-27.223510	0.384390
352.800000	-27.389130	0.347506
353.000000	-27.559400	0.327457
353.200000	-28.145730	0.280329
353.400000	-28.374650	0.319017
353.600000	-28.975110	0.391769
353.800000	-29.497890	0.357541
354.000000	-29.628220	0.345903
354.200000	-29.924130	0.324835
354.400000	-30.127830	0.305135
354.600000	-30.174480	0.347252
354.800000	-30.303120	0.334515
355.000000	-30.593290	0.309208
355.200000	-30.723300	0.359259
355.400000	-31.188590	0.365496
355.600000	-31.420030	0.313722
355.800000	-31.828590	0.326633
356.000000	-31.888800	0.298499
356.200000	-31.917850	0.410934
356.400000	-31.968830	0.389211
356.600000	-32.159350	0.314253
356.800000	-32.372970	0.329274
357.000000	-32.678210	0.375100
357.200000	-32.842900	0.354356
357.400000	-33.035370	0.365649
357.600000	-33.133320	0.392646
357.800000	-33.772400	0.334249
358.000000	-42.319170	0.344466
358.200000	-49.144780	0.362830
358.400000	-50.043230	0.357628
358.600000	-50.272600	0.385443
358.800000	-50.509400	0.367878
359.000000	-50.805380	0.334564
359.200000	-51.814070	0.348669
359.400000	-52.080770	0.340558
359.600000	-52.200750	0.343641
359.800000	-52.725170	0.350078
360.000000	-52.905720	0.354473
360.200000	-53.045510	0.357970
360.400000	-53.446640	0.332065
360.600000	-53.649240	0.355693
360.800000	-53.940100	0.338669
361.000000	-54.217160	0.389094
361.200000	-55.011030	0.372043
361.400000	-55.724820	0.403304
361.600000	-58.102730	0.313956
361.800000	-58.390410	0.357755
362.000000	-59.109160	0.405653
362.200000	-59.718020	0.455683
362.400000	-60.520880	0.498529
362.600000	-61.319130	0.369195
362.800000	-61.872280	0.370355
363.000000	-62.670310	0.439434
363.200000	-63.123240	0.511875
363.400000	-65.057650	0.470343
363.600000	-65.737650	0.363170
363.800000	-66.679430	0.326839
364.000000	-67.757360	0.325470
364.200000	-69.400540	0.467016
364.400000	-69.594390	0.423427
364.600000	-69.927620	0.434378
364.800000	-70.316790	0.386484
365.000000	-70.973560	0.385967
