#lab INRiM MiCb
#hv keithley6487
#s CNTArO2Etching_Strongnew
#t 2.7
#d 0.5
#V 120
#
#Time	Temp	Current
# s	K	pA	
194.021844	91.011000	221612.700000
196.021621	91.017000	151459.700000
198.022278	91.021000	177561.900000
200.022065	91.028000	253599.900000
202.021842	91.034000	207454.700000
204.022121	91.034000	238358.300000
206.021570	91.039000	183410.300000
208.021852	91.045000	166893.300000
210.022387	91.052000	134295.900000
212.021774	91.052000	122217.200000
214.021973	91.055000	95468.720000
216.021561	91.062000	82294.850000
218.023289	91.068000	66869.930000
220.023015	91.074000	136791.500000
222.024316	91.074000	92897.180000
224.024405	91.079000	121842.800000
226.023743	91.084000	76410.770000
228.024637	91.090000	110265.800000
230.025245	91.090000	119397.300000
232.025337	91.096000	147050.500000
234.024734	91.100000	272021.100000
236.026375	91.107000	221736.400000
238.026296	91.107000	129608.000000
240.025571	91.112000	122534.000000
242.027126	91.117000	203304.800000
244.026625	91.122000	223883.300000
246.027314	91.128000	208752.900000
248.027255	91.128000	242374.500000
250.026730	91.134000	451666.300000
252.026652	91.139000	380842.700000
254.027297	91.144000	144051.400000
256.026603	91.144000	143893.100000
258.026758	91.150000	87858.520000
260.028424	91.154000	134639.400000
262.028115	91.160000	145899.100000
264.027846	91.160000	108060.100000
266.027972	91.163000	53819.290000
268.027637	91.169000	58468.360000
270.027754	91.176000	148611.400000
272.028325	91.180000	92143.990000
274.027600	91.180000	77837.970000
276.027627	91.186000	76511.700000
278.029295	91.191000	109242.000000
280.029168	91.196000	115990.400000
282.029690	91.196000	118691.900000
284.030527	91.199000	94422.940000
286.031077	91.206000	179255.100000
288.030658	91.211000	143166.700000
290.030932	91.211000	153533.300000
292.032445	91.215000	116904.500000
294.032184	91.220000	89330.950000
296.031549	91.223000	117295.500000
298.031714	91.228000	128473.200000
300.031764	91.228000	106492.500000
302.032323	91.234000	86868.430000
304.033431	91.238000	106579.800000
306.032549	91.242000	98225.010000
308.033707	91.242000	94223.260000
310.033698	91.247000	68297.700000
312.033767	91.253000	96415.340000
314.034194	91.257000	90552.800000
316.033953	91.257000	108077.700000
318.033552	91.262000	69588.520000
320.033924	91.267000	88295.130000
322.034266	91.271000	70610.280000
324.033541	91.274000	70284.440000
326.033813	91.274000	59047.460000
328.034572	91.280000	112385.000000
330.035032	91.284000	111245.800000
332.035033	91.289000	94755.630000
334.034665	91.289000	118776.300000
336.034861	91.292000	91459.800000
338.034986	91.296000	114474.000000
340.034640	91.301000	114779.500000
342.035196	91.301000	178867.700000
344.035176	91.307000	112346.900000
346.034856	91.311000	59646.090000
348.036108	91.314000	55524.950000
350.036396	91.319000	36487.880000
352.035891	91.319000	45153.980000
354.036479	91.323000	100835.400000
356.036359	91.327000	63017.490000
358.035975	91.332000	64052.900000
360.036383	91.332000	46615.940000
362.036459	91.334000	83211.300000
364.037222	91.339000	80775.050000
366.037072	91.343000	68732.620000
368.037268	91.343000	59009.540000
370.036714	91.347000	81530.200000
372.036663	91.353000	113611.700000
374.036491	91.356000	79227.220000
376.037195	91.359000	86653.340000
378.036908	91.359000	91213.760000
380.036714	91.363000	91101.580000
382.037162	91.365000	54588.700000
384.036631	91.370000	74417.780000
386.037253	91.370000	84007.840000
388.036494	91.376000	76245.390000
390.037315	91.379000	58754.060000
392.037892	91.383000	71649.290000
394.038084	91.383000	62937.750000
396.037514	91.385000	92602.300000
398.039404	91.389000	137899.600000
400.039144	91.394000	139931.700000
402.040344	91.397000	76946.800000
404.039760	91.397000	88218.390000
406.039594	91.400000	134879.700000
408.040489	91.405000	89567.980000
410.040742	91.408000	64642.170000
412.041340	91.408000	79059.230000
414.040586	91.411000	64917.890000
416.042251	91.414000	24908.940000
418.042099	91.418000	29746.180000
420.042947	91.418000	98905.640000
422.042755	91.421000	87143.540000
424.043293	91.424000	42065.670000
426.043950	91.428000	45950.640000
428.043678	91.431000	54415.520000
430.044931	91.431000	56531.230000
432.045494	91.434000	68085.570000
434.045689	91.438000	137276.800000
436.045962	91.441000	196018.600000
438.045861	91.441000	231249.400000
440.045908	91.445000	110519.600000
442.045599	91.448000	158754.000000
444.045665	91.451000	102806.700000
446.046895	91.451000	90237.440000
448.047398	91.455000	100145.700000
450.047683	91.458000	72095.070000
452.048283	91.462000	82547.760000
454.047502	91.464000	126532.100000
456.048145	91.464000	178267.400000
458.047704	91.467000	357200.900000
460.048206	91.471000	149020.600000
462.047617	91.474000	148185.200000
464.047944	91.474000	550741.500000
466.048705	91.476000	1011085.000000
468.050319	91.478000	200411.800000
470.049638	91.481000	263122.700000
472.050477	91.481000	203639.300000
474.050462	91.486000	126700.700000
476.051292	91.489000	133173.800000
478.051130	91.490000	200214.000000
480.050827	91.492000	147758.600000
482.052471	91.492000	140220.100000
484.051962	91.495000	140796.400000
486.052857	91.496000	91421.100000
488.052681	91.499000	90359.410000
490.052825	91.499000	59582.220000
492.053127	91.500000	102866.300000
494.053246	91.502000	134874.100000
496.054326	91.504000	194629.200000
498.054020	91.504000	106558.200000
500.053543	91.505000	87988.370000
502.053545	91.509000	157552.100000
504.054459	91.511000	81765.470000
