AsGrown (m),Mild (m),Strong (m)
3.12188084432227e-08,7.60334751092098e-09,9.74319026130221e-09
3.13524483934945e-08,7.50490087306722e-09,8.74262499702026e-09
3.14053399179116e-08,7.79536607139189e-09,8.85596995621926e-09
3.15240010543380e-08,7.81751869224524e-09,8.73928634681322e-09
3.16547861854839e-08,7.59212394350184e-09,8.13820136010232e-09
3.16564558110481e-08,7.45206870107118e-09,7.61385612138115e-09
3.12927497546827e-08,6.60411886105715e-09,7.29028212681264e-09
3.06350829972894e-08,6.41513326647434e-09,7.52210176468999e-09
3.01788798986541e-08,6.58247876421603e-09,7.62917403917794e-09
2.99248934365555e-08,6.88913153603864e-09,7.77273792427665e-09
3.00349999745126e-08,6.65754894679398e-09,9.28711196638853e-09
3.01467870338102e-08,6.60795351990451e-09,8.53410970468563e-09
2.99039375189999e-08,6.19909566820100e-09,7.73112449137725e-09
2.96758632377504e-08,6.17784774896976e-09,7.07753802770875e-09
2.93434459576495e-08,6.03920188474409e-09,7.38920785706094e-09
2.90610385030140e-08,6.07746426657210e-09,7.18879584642107e-09
2.89641437443208e-08,6.35624786782016e-09,8.17389542811495e-09
2.87366275008897e-08,6.76021785016779e-09,8.73581008331107e-09
2.89692383227416e-08,6.40015990412229e-09,8.55326938922946e-09
2.93552067881976e-08,6.38012740620403e-09,8.13195154166815e-09
2.97841421643206e-08,6.62646481131943e-09,8.56884717621583e-09
2.98159455485716e-08,6.74379703836196e-09,8.98730089095471e-09
2.97627852710798e-08,7.19900646079301e-09,8.00614167626276e-09
2.92728018164067e-08,7.12753529799266e-09,7.90719498253400e-09
2.84714471946534e-08,6.71749652091810e-09,7.15845498115478e-09
2.76186666614648e-08,7.22264623792365e-09,6.41883236090653e-09
2.67572105037289e-08,7.19065684818755e-09,6.32621641682771e-09
2.59052354146607e-08,7.45415081142080e-09,6.38579047021802e-09
2.49765926597290e-08,7.56268157128577e-09,6.96417122443070e-09
2.46159121665089e-08,7.95350265111671e-09,7.32198387093972e-09
2.45596967791046e-08,5.68019671452184e-09,8.09556261302413e-09
2.47351239063770e-08,6.36706171604161e-09,8.06497342023093e-09
2.51118955182628e-08,5.99689768562835e-09,7.16708622444012e-09
2.56588557026198e-08,5.75065862071963e-09,6.91686035535238e-09
2.65795514868465e-08,5.54541835739626e-09,6.94510309468225e-09
2.77625632522185e-08,5.21433938229867e-09,6.85674635239368e-09
2.85123663112769e-08,6.66400101059177e-09,7.09102606881790e-09
2.92932352914248e-08,6.47512724187503e-09,7.21789337494079e-09
3.00625398016300e-08,6.14719067203285e-09,6.97191389659519e-09
3.08565574868884e-08,6.57179224997056e-09,7.19680394781449e-09
3.18514350643170e-08,6.40747856443110e-09,7.48241493538917e-09
3.32518500110356e-08,6.31659373217455e-09,7.70952217044395e-09
3.46752937970991e-08,6.12665487941559e-09,7.95223896464775e-09
3.55339486600030e-08,6.32930568158661e-09,8.39715061671644e-09
3.68545899513536e-08,6.01657435869557e-09,8.85591483050541e-09
3.82469342987883e-08,6.84222220617925e-09,1.03426849982115e-08
3.96340193869743e-08,7.43503043297317e-09,1.07699252494385e-08
4.06617689744973e-08,7.70003132442342e-09,1.03780624690276e-08
4.17236860852821e-08,7.43688256666155e-09,1.04514152729227e-08
4.24831386468022e-08,7.35452691525768e-09,1.02363019657307e-08
4.34278383150449e-08,7.21657858208454e-09,9.44615879497896e-09
4.41458564693634e-08,7.32048079113110e-09,8.61172078713251e-09
4.40463970966841e-08,7.77555945291003e-09,8.43948189786889e-09
