AsGrown (m),Mild (m),Strong (m)
2.46318348900412e-08,7.72016936463386e-09,1.01736293543947e-08
2.54318528262932e-08,8.55197986980235e-09,1.00413504569719e-08
2.61966252607803e-08,8.21686493216873e-09,1.03505528930911e-08
2.68056233861747e-08,7.96403337142719e-09,1.04842066089665e-08
2.74555226295727e-08,7.60506082984516e-09,1.01695555609279e-08
2.78773031953040e-08,8.57390255979675e-09,1.01228145998852e-08
2.80713564333382e-08,8.15428406992973e-09,9.94550864754596e-09
2.80959605800727e-08,7.87619881499824e-09,1.00594765675468e-08
2.81636111024793e-08,7.49156192079264e-09,1.00067575938723e-08
2.72324081872917e-08,7.41415472288601e-09,1.01528503713423e-08
2.63919286215413e-08,7.70254509881194e-09,1.02185820590408e-08
2.72895222278797e-08,9.52330847401309e-09,1.01084872732707e-08
2.71907021960724e-08,1.08347126363430e-08,1.02861671974119e-08
2.70969374923173e-08,1.00605025347534e-08,1.02232568916107e-08
2.73115479599767e-08,9.63606779209660e-09,9.54675250428642e-09
2.72714060253957e-08,8.89658739095783e-09,9.26119753934681e-09
2.72997592609557e-08,9.46471869469311e-09,9.01677238935380e-09
2.74290985220875e-08,9.19678953908867e-09,8.80239040295643e-09
2.74730947443124e-08,7.96176742228514e-09,9.07441559352975e-09
2.74670163618735e-08,6.68822896775264e-09,9.53919723683218e-09
2.74932897368402e-08,5.74053483837924e-09,1.05139352132804e-08
2.77726534180876e-08,5.79608823977654e-09,1.12502084663915e-08
2.81669304692795e-08,6.02519729142738e-09,1.18398800536915e-08
2.87385580401048e-08,6.18956935366784e-09,1.28381793860040e-08
2.91885126036651e-08,6.60353946308217e-09,1.34353332819993e-08
2.90781124955056e-08,7.03021633216051e-09,1.36326303388757e-08
2.91660661078624e-08,8.01257311656175e-09,1.32839605818783e-08
2.93772232141094e-08,8.74422663100676e-09,1.31169969277278e-08
2.95530859462259e-08,9.56886322362235e-09,1.26584489537425e-08
2.92285183996559e-08,9.42671614306662e-09,1.26019176293983e-08
2.88977442773826e-08,8.79878833335169e-09,1.28500909596673e-08
2.87680327936596e-08,8.45615459104660e-09,1.32329426046511e-08
2.85836973598177e-08,8.19216620119039e-09,1.35375552211394e-08
2.80118670245545e-08,7.78355489904998e-09,1.36925833748847e-08
2.78539167072357e-08,7.25166554081418e-09,1.38870400439516e-08
2.75902485187936e-08,6.75663227333351e-09,1.41153873790016e-08
2.71648976271528e-08,6.49557482434203e-09,1.58993728194724e-08
2.66128400147889e-08,6.38028207237763e-09,1.62337254574700e-08
2.59579500253907e-08,6.26914929475831e-09,1.49493933551160e-08
2.60500241867813e-08,7.50254362767732e-09,1.53266140869788e-08
2.57920976935878e-08,6.95369918134484e-09,1.53324379466909e-08
2.54722109737662e-08,6.57008888928107e-09,1.53474035028509e-08
2.56295255909633e-08,6.35938071794464e-09,1.49628440003473e-08
2.53755853229617e-08,6.66143322720554e-09,1.49805822022762e-08
2.52960569144286e-08,6.72787124112609e-09,1.49988362048352e-08
2.49888168665645e-08,6.61000908478793e-09,1.45760052513656e-08
2.48112136399943e-08,6.30819511943152e-09,1.37457459341777e-08
2.47270221751376e-08,6.67440985843452e-09,1.28457338160842e-08
2.46223464737393e-08,6.54432124958586e-09,1.25059429523424e-08
2.43368206352275e-08,6.55599521865654e-09,1.19888777056791e-08
2.43570922863656e-08,7.18349242863591e-09,1.19110412421337e-08
2.44771569399574e-08,7.41090735231585e-09,1.14730979332915e-08
2.42696820767742e-08,7.83296445740314e-09,1.10050608730748e-08
2.39680950039906e-08,8.00876252969730e-09,1.04348380123884e-08
2.36411235617111e-08,7.83340833958627e-09,1.00841426110572e-08
2.31755017327895e-08,7.76368179605282e-09,9.97373853529051e-09
2.27773553968233e-08,7.64824031477182e-09,9.87807166265090e-09
2.21926912781161e-08,7.57786785090244e-09,1.01783168624284e-08
2.15838879571410e-08,7.75670634485569e-09,1.08087797426210e-08
2.17765004281423e-08,8.31401306303181e-09,1.12598011406900e-08
2.22361389910165e-08,7.78462514909961e-09,1.13359639162146e-08
2.28269819659726e-08,7.79462224801121e-09,1.24975982166678e-08
2.31236221768580e-08,7.48566549239533e-09,1.37708651231675e-08
2.33719098272269e-08,7.16069408735608e-09,1.46210199921058e-08
2.35234648301343e-08,6.66247997383806e-09,1.53687825801377e-08
2.37138894947389e-08,5.96625639501726e-09,1.51079041240554e-08
2.39052441712590e-08,5.90279691633463e-09,1.46270768012535e-08
2.41505444596915e-08,6.48887810939458e-09,1.40502137295374e-08
2.44222975479664e-08,6.43706551875627e-09,1.36559932351206e-08
2.46509342607823e-08,5.70905383408989e-09,1.36014831946015e-08
2.47483197191282e-08,6.03054964833376e-09,1.28894736710508e-08
2.46532692715137e-08,7.29803676736886e-09,1.22571466336477e-08
2.42371573221522e-08,7.99580333217531e-09,1.26630275599250e-08
2.42254091589709e-08,8.79105081907822e-09,1.27515235568204e-08
2.40496135654498e-08,9.72900345286492e-09,1.09250471093303e-08
2.39700252741241e-08,1.03122601106323e-08,1.06923737893703e-08
2.39155265333488e-08,9.24180402443098e-09,1.12449750471300e-08
2.38524665416554e-08,8.99348262320755e-09,1.06988191018049e-08
2.40120316866292e-08,8.82406092830054e-09,1.11295153561803e-08
2.40919149817097e-08,8.42869715559404e-09,1.18353447677140e-08
2.45450648346584e-08,8.92128378815588e-09,1.17875772704042e-08
2.51261933329889e-08,8.95350850796280e-09,1.22489023270361e-08
2.49666616471718e-08,1.00889147059285e-08,1.32086139108390e-08
2.49769391279829e-08,1.06360605178901e-08,1.41902953548110e-08
2.46818001554600e-08,9.94879628920002e-09,1.39635858883436e-08
2.45836665059721e-08,9.72238004217572e-09,1.33284119498564e-08
2.44056759620555e-08,9.49641061285479e-09,1.26112595347351e-08
2.43278970675132e-08,9.42389813423617e-09,1.16826927107149e-08
2.39773937946469e-08,8.30299794469858e-09,1.13538348470767e-08
2.38896554733353e-08,7.98835490274464e-09,1.10834904102025e-08
2.37808747144465e-08,8.32832740469027e-09,1.06135646529779e-08
2.39411106984826e-08,7.94311213047608e-09,1.00557622246812e-08
2.40881612628762e-08,9.48434540148957e-09,9.54116954062070e-09
2.42767306107310e-08,1.02496483855099e-08,9.59286241660686e-09
2.39760441797768e-08,1.03897500313667e-08,1.09368292164721e-08
2.37107639748449e-08,1.01497282372199e-08,1.25733436251983e-08
2.38285540443148e-08,9.68086506201575e-09,1.34525561403039e-08
2.39754855144549e-08,1.00903375839022e-08,1.50152420823597e-08
2.42706152362222e-08,1.31247948521315e-08,1.15241225712303e-08
2.42208879182547e-08,1.16821517503449e-08,8.56288186484177e-09
2.43286968297780e-08,8.63608627018925e-09,8.11972078203388e-09
2.44728154806956e-08,8.52040139392851e-09,8.44128017702753e-09
2.42669112180078e-08,9.03921843820484e-09,8.74037665426661e-09
2.42600307925092e-08,9.31831518290036e-09,9.02034241325179e-09
2.44159944347421e-08,9.15878853054028e-09,8.66100926881964e-09
2.46533473636085e-08,1.02501921763339e-08,8.86826539569759e-09
2.45014614604520e-08,9.79678357569878e-09,1.08711071782372e-08
2.47167164744635e-08,9.20678666758572e-09,1.19837227621838e-08
2.49803608885154e-08,9.07736374442696e-09,1.06119745189435e-08
2.49138704931299e-08,9.06798952817869e-09,1.04504053744161e-08
2.49611234050031e-08,8.89461998752895e-09,1.04395106810171e-08
2.48577155778845e-08,9.86017951572279e-09,1.15403988597457e-08
2.49533331563998e-08,1.04354288747080e-08,1.25200240315705e-08
2.53191575990048e-08,9.08732994737010e-09,1.30843829567716e-08
2.54686210937542e-08,7.32092855508274e-09,1.33885737530385e-08
2.58937563085336e-08,7.34059581804722e-09,1.35199561425981e-08
2.61715652558538e-08,8.32611717463133e-09,1.32327003958222e-08
2.66874914528335e-08,8.73405053831691e-09,1.22918196274675e-08
2.68977543348629e-08,8.84403226827119e-09,1.11339679043013e-08
2.71908106881356e-08,5.73801487385472e-09,8.16652509013260e-09
2.73302620836534e-08,6.45432594315127e-09,8.21795066736472e-09
2.78070507393287e-08,7.50715595888152e-09,8.50164330529566e-09
2.77685788380654e-08,7.44461635485405e-09,8.72080361418607e-09
2.76153383881095e-08,6.45094970114475e-09,8.53417497933257e-09
2.75290828055766e-08,5.81300789340753e-09,9.78657890598205e-09
2.76413724610483e-08,5.09178008374109e-09,1.00837716821457e-08
2.77224635887970e-08,5.22256554267239e-09,1.00960360453797e-08
2.76712929898208e-08,5.12670562984986e-09,1.04678578740475e-08
2.75688780171005e-08,5.38656377619932e-09,1.13329740960520e-08
2.75631586896811e-08,5.44797746162675e-09,1.13363301402674e-08
2.75258526903373e-08,5.87951538860240e-09,1.22127337179735e-08
2.66263381813071e-08,7.11044469678336e-09,1.33162943217809e-08
2.09861786698984e-08,5.14595931573071e-09,1.37686530166537e-08
2.08395691169045e-08,4.74286182713908e-09,1.25143743855605e-08
2.21812215581793e-08,4.77966370112177e-09,1.23870860586316e-08
2.56317707297399e-08,4.87225498221258e-09,1.23223228506276e-08
2.43694350235652e-08,5.04334270000510e-09,1.29636512025583e-08
2.13659008260545e-08,5.00742331360256e-09,1.35365982271244e-08
2.16226788664888e-08,4.98725248621020e-09,1.30215441518216e-08
2.14581321393401e-08,5.14792030909065e-09,1.19185608237262e-08
2.17227871771569e-08,5.93059340700953e-09,1.11610180942493e-08
2.18770982571780e-08,6.09389090388934e-09,1.02927329215634e-08
2.19636807627369e-08,5.49716172774157e-09,9.69372410779399e-09
2.20907299210719e-08,5.74243252856259e-09,8.75542546668401e-09
2.21960954825092e-08,7.24217136747535e-09,8.04651502167999e-09
2.22684943118668e-08,6.72090574232655e-09,8.72810612927588e-09
2.21025286031407e-08,6.31883889123039e-09,9.54437550639366e-09
2.17948245438558e-08,5.89425274789171e-09,1.00515125678306e-08
2.14404799578054e-08,7.91883872078829e-09,1.06095092154993e-08
2.10768394478952e-08,7.53260706389433e-09,1.02425165874564e-08
2.03922502991898e-08,7.56804308501112e-09,8.75138508837309e-09
1.98904053812457e-08,7.78161579570612e-09,8.83198498650874e-09
1.94682591821289e-08,8.45952012115306e-09,8.95378736068185e-09
1.89907923358887e-08,8.04332055035669e-09,9.35895922606412e-09
1.88391989980245e-08,8.52899952247163e-09,1.00721673481860e-08
1.87694167320441e-08,8.61550993416828e-09,1.23237926505997e-08
1.85126832863728e-08,8.81717689069319e-09,1.49595531124594e-08
1.77584551816915e-08,9.07049463436306e-09,1.30420992363629e-08
1.76796270052497e-08,8.26277819642015e-09,1.26954002103024e-08
1.77713212767682e-08,8.20535728606399e-09,1.34549312123810e-08
1.79382874530921e-08,7.93873713446657e-09,1.36755967779137e-08
1.80910510648827e-08,7.96358626410891e-09,1.18338657930563e-08
1.83933370504183e-08,7.86294697160659e-09,1.21090328926338e-08
1.86286086824156e-08,9.01778501003445e-09,1.12325768853788e-08
1.87743902493008e-08,9.48639892467528e-09,1.13942764744533e-08
1.89321923826602e-08,9.05123679685463e-09,1.18154448133007e-08
1.92144142736015e-08,8.45138039853869e-09,1.22015769561679e-08
1.94602351062480e-08,8.30813265047053e-09,1.14337653763253e-08
1.96636301943674e-08,7.52553817095161e-09,1.09651338313002e-08
2.00513844267146e-08,7.00257087523384e-09,1.08878688256959e-08
2.01665243604705e-08,7.77690528254986e-09,8.95109681244690e-09
2.04544363874352e-08,8.13244588755494e-09,9.24888846051999e-09
2.06727706688550e-08,8.76988927800277e-09,1.31720502963851e-08
2.09433478151028e-08,9.57796038066145e-09,1.35320958614621e-08
2.11453376957470e-08,9.44835559923481e-09,1.33990419550177e-08
2.12039235394981e-08,9.52970808581670e-09,1.24703318557357e-08
2.13028546159779e-08,9.44569841527970e-09,1.26453961399532e-08
2.15503506153385e-08,9.12538994730483e-09,1.26946349188005e-08
2.07662420255662e-08,8.24412187592440e-09,1.21406140495979e-08
2.06245631572884e-08,7.49037111484348e-09,1.08982978170242e-08
2.01088922476586e-08,6.82870259594519e-09,1.00278357407062e-08
1.94008805149239e-08,7.03539143704323e-09,9.71253075303675e-09
1.89364185422434e-08,7.17636878503477e-09,9.85729448990289e-09
1.85694985458121e-08,7.16782271268845e-09,9.15391259153367e-09
1.85429135166369e-08,6.81650806375797e-09,9.41259301022940e-09
1.86400841547300e-08,6.64118238507294e-09,9.69645715664772e-09
1.87441178289388e-08,6.46243903192764e-09,1.00004523426344e-08
1.88915401461681e-08,6.64882909874734e-09,1.05531186542496e-08
1.90070612384102e-08,6.11665493867763e-09,1.05916616668013e-08
1.93233539094477e-08,5.97261073908232e-09,1.03164908073285e-08
2.00631054323660e-08,5.88856322703935e-09,1.05526402947111e-08
1.94480268461403e-08,5.87842596945418e-09,1.17408301723392e-08
1.92020292697109e-08,6.42110543423768e-09,1.27051225590896e-08
1.99003288048736e-08,6.49378196296193e-09,1.37038147081062e-08
2.06558201608267e-08,5.94159743156516e-09,1.69298475187947e-08
2.14523510188366e-08,5.63715101536856e-09,1.84654581982866e-08
2.29317110251320e-08,5.26190468721084e-09,1.94640026917007e-08
2.44073151177922e-08,5.33743781972711e-09,2.03774841771162e-08
2.54389847700575e-08,5.30890535054658e-09,1.89132348734348e-08
2.39466643688054e-08,5.35857602345280e-09,1.91510536717975e-08
2.54683918675859e-08,5.33892477200968e-09,2.04955154145847e-08
2.54067430722585e-08,5.23502351054727e-09,2.13761428915459e-08
2.52188530145220e-08,4.91205762331709e-09,2.02679230952633e-08
2.48685140637340e-08,4.76999507887510e-09,1.81591569049867e-08
2.44868774348338e-08,5.07700031523471e-09,1.75735683809451e-08
2.42166617701736e-08,5.19990119302552e-09,1.93231537154594e-08
2.40436840209920e-08,5.15655130900683e-09,1.96483988270006e-08
2.38605601103368e-08,5.30795926976544e-09,1.99512860587533e-08
2.37445913594154e-08,5.31998708778125e-09,2.37047963794377e-08
2.34738035211908e-08,5.80014335655651e-09,2.51021717486840e-08
2.37266634851020e-08,6.22225632515981e-09,2.43510268841928e-08
2.40342024770036e-08,6.05261876756640e-09,2.41671411652791e-08
2.42560824188927e-08,6.79022837366695e-09,2.43556196087790e-08
2.43163105175098e-08,7.24289346197004e-09,2.46384764130822e-08
2.41040448018366e-08,7.39936000186324e-09,2.37865358671436e-08
2.40090311462116e-08,8.35055229729945e-09,2.42578190522855e-08
2.39491639802694e-08,9.43318769937520e-09,2.37057440355205e-08
2.36802432931164e-08,9.72116577792690e-09,2.41141986400090e-08
2.39729974911194e-08,1.03079921532234e-08,2.34603388544010e-08
2.43208729531073e-08,9.62316542170607e-09,2.35833525226287e-08
2.45805671530735e-08,1.04481836179737e-08,2.52416470775383e-08
2.49027889802889e-08,1.03535439308974e-08,2.64262325684785e-08
2.51298638854709e-08,1.05380127406147e-08,2.63089794995410e-08
2.54262199469850e-08,9.10060990280400e-09,2.54238307232946e-08
2.55012298817019e-08,7.28175429500501e-09,2.40151317306434e-08
2.58729683762470e-08,7.68982350273619e-09,2.52601014822623e-08
2.60875869870397e-08,7.75782053079789e-09,2.45251062754208e-08
2.62006806414875e-08,7.69848676808347e-09,2.22845758275221e-08
2.62107802003853e-08,7.31843072157716e-09,1.97104775121601e-08
2.61647419573646e-08,7.89256707430513e-09,1.75165134366847e-08
2.59182709099998e-08,8.06990442135496e-09,1.71727233543811e-08
2.53795421494513e-08,7.45840603286627e-09,1.75872698699792e-08
2.47980894144849e-08,7.16344340420355e-09,1.94879746400815e-08
2.43283843448406e-08,6.73530937920986e-09,2.07740600200673e-08
2.42911284362234e-08,6.91080913946721e-09,2.22329306659670e-08
2.43833002017308e-08,6.58887774549827e-09,1.97055112209980e-08
2.45157837208415e-08,6.09012983018954e-09,2.16747889695547e-08
2.44619275416407e-08,6.43128662415620e-09,2.19265243511830e-08
2.46889951534481e-08,6.18192594697079e-09,2.43484949970802e-08
2.48732727188915e-08,6.16193119645517e-09,2.42086547641876e-08
2.50470725574113e-08,6.17978412441250e-09,2.52244643283504e-08
2.52654220701621e-08,6.07410369175270e-09,2.56258614578292e-08
2.53774453031546e-08,6.43089054431862e-09,2.52841824159816e-08
2.55260299710527e-08,6.56383103078827e-09,2.39444353077378e-08
2.54922097162805e-08,6.97274580724309e-09,2.37047316903018e-08
2.53829675731394e-08,7.19066152454173e-09,2.41297245464115e-08
2.53506186972188e-08,8.19825347379151e-09,2.33322517032480e-08
2.50912737786893e-08,8.30145841202061e-09,2.22235014639231e-08
2.51235604883842e-08,8.72524002494392e-09,2.08271982144990e-08
2.55278576851268e-08,8.98074457444499e-09,2.03717735557748e-08
2.59125105249455e-08,8.60264197418756e-09,1.99562997992519e-08
2.58431339302227e-08,7.89690550497135e-09,2.05920198415103e-08
2.51486095962122e-08,7.41780500369775e-09,2.13619842521596e-08
2.36824143189954e-08,7.45114105094609e-09,2.27507925459670e-08
2.21861099206728e-08,7.52367953473634e-09,2.34346912953958e-08
2.13931195064302e-08,7.37573481367297e-09,2.39091320730934e-08
2.10720632178808e-08,6.79528426419164e-09,2.37519871969803e-08
2.08684170059491e-08,7.18135470918323e-09,2.04794998218397e-08
2.06857297996885e-08,7.43875452739737e-09,1.60638939290331e-08
2.06206373414943e-08,7.49540221778703e-09,1.52806209125857e-08
2.09580665739698e-08,7.48707256215764e-09,1.44324666599913e-08
2.11030133347244e-08,7.22063415782240e-09,1.43453807123482e-08
2.12813202945186e-08,7.23389747333316e-09,1.63233463152827e-08
2.11485614583495e-08,7.55656859046934e-09,1.71415267388375e-08
2.13689892666094e-08,7.79611347816693e-09,1.98740303612513e-08
2.16383034136485e-08,8.22500277319184e-09,1.73467157133444e-08
2.19233689889640e-08,7.09365349561398e-09,1.95017714845941e-08
2.22231237670833e-08,6.78906066288407e-09,1.64402022634569e-08
2.23557964184646e-08,6.74718887891993e-09,1.64324310829452e-08
2.21912973071873e-08,7.14526223500421e-09,1.47096964391718e-08
2.16857941252698e-08,6.62043426857580e-09,1.69759038045125e-08
2.10142685081715e-08,6.31671306644380e-09,1.79064192470213e-08
2.05662152773773e-08,6.50238366771109e-09,1.74904439622725e-08
2.07042524636628e-08,6.24191370932649e-09,1.91787227714588e-08
2.12476506902800e-08,5.98586652267854e-09,2.06079834678281e-08
2.30720141312795e-08,5.83432198518143e-09,2.02319282553960e-08
2.14773298183234e-08,5.81196065555205e-09,1.89847415250658e-08
1.97660151159805e-08,6.12510178182103e-09,1.75637006399770e-08
1.67995747734952e-08,7.47156442689751e-09,1.79224394189371e-08
1.25942797371855e-08,7.35334284018825e-09,1.69098809131312e-08
1.29247085422650e-08,6.60706597951616e-09,1.72403601805958e-08
1.31997693361597e-08,6.60584774078276e-09,1.74410112669804e-08
1.42924341315945e-08,7.02517800559238e-09,1.61312005484244e-08
1.52711713567140e-08,7.76057420692701e-09,1.50534238317838e-08
1.82920335428888e-08,7.64262682887583e-09,1.40457390982595e-08
2.14879138656845e-08,9.25672057944318e-09,1.33978647772108e-08
2.32439654451199e-08,9.74702370653968e-09,1.30836126312765e-08
2.34385493673387e-08,8.04266430990471e-09,1.28397826694990e-08
2.35651726364161e-08,7.09695185370770e-09,1.11731217129935e-08
2.34803198041173e-08,6.74591397548936e-09,1.00398562891798e-08
2.37092283590577e-08,7.13018391759516e-09,8.21642281629158e-09
2.33334936169163e-08,8.85723422521042e-09,7.99055732048280e-09
2.33972186978215e-08,9.84491990076033e-09,7.94101844361590e-09
2.33357625995426e-08,9.24173327330503e-09,7.82373815627673e-09
2.34545706917311e-08,9.81128712080607e-09,8.31469237702869e-09
2.33613768608926e-08,9.63110093673152e-09,9.44670636062403e-09
2.34424329915538e-08,9.60750852058300e-09,9.97643256335926e-09
2.34553626736362e-08,1.02350244267571e-08,9.91260067840132e-09
2.37100003925516e-08,8.89956146690583e-09,9.43616206158836e-09
2.39636346205569e-08,8.01969414906311e-09,9.16677020178709e-09
2.41342308158973e-08,8.10106591704588e-09,8.75496034234404e-09
2.41736419822725e-08,8.69317065347902e-09,8.22111353121510e-09
2.42991349286231e-08,9.19226833898307e-09,7.48977747324026e-09
2.44043170959312e-08,8.67851232675964e-09,7.22953967473884e-09
2.46302044263532e-08,8.85144367418930e-09,7.13437451331012e-09
2.47003163259230e-08,8.75135898212570e-09,7.13079065787998e-09
2.51595700355030e-08,8.01803299663100e-09,7.02347924764993e-09
2.48705402830387e-08,7.63797752716947e-09,7.40236726044555e-09
2.38691821061700e-08,7.26366194134882e-09,8.17855799517888e-09
2.32419855164782e-08,7.53282530891668e-09,8.44164242510638e-09
2.18903542939785e-08,6.88996292606005e-09,9.06507437607495e-09
2.09143366080037e-08,6.26847446945170e-09,9.36035503612850e-09
2.46481031687352e-08,6.29000285790826e-09,9.57858041456249e-09
2.41146189724073e-08,6.31937362506817e-09,9.62584508150090e-09
2.33773376029057e-08,6.45323141696322e-09,9.42793441468151e-09
2.28954081371065e-08,6.82119916176325e-09,8.65190552438531e-09
2.21075164269331e-08,7.58729964776866e-09,9.62851444527407e-09
2.19105471495745e-08,7.54805831546259e-09,1.11135092544837e-08
2.19844674624473e-08,7.88976036996887e-09,1.07863318328505e-08
2.20116353413694e-08,6.87670648326927e-09,1.13431819968952e-08
2.19522316492590e-08,8.85443713734047e-09,1.13250294796702e-08
2.19987169156497e-08,7.78063289045552e-09,1.11087409964139e-08
2.17900111274294e-08,8.65145717938724e-09,1.10795582506889e-08
2.16471812187544e-08,7.51542898996899e-09,1.09243484087466e-08
2.14617447739112e-08,7.66030868269605e-09,1.00731960351138e-08
2.11524746837711e-08,7.80259487391935e-09,1.04709315161054e-08
2.06231071935246e-08,8.07036236399318e-09,1.08066084977952e-08
1.99548790431621e-08,8.57107834896831e-09,1.10996739620972e-08
1.89274892665170e-08,9.23242417875808e-09,1.07947558713675e-08
1.81704693976073e-08,9.12735759435282e-09,1.12778487796357e-08
1.75936740351958e-08,8.94250841487063e-09,1.07900415436362e-08
1.69246029495960e-08,8.14808709392304e-09,9.89740756336834e-09
1.62033933696857e-08,8.44196284878343e-09,9.75269883854357e-09
1.57701538471095e-08,9.50430065607382e-09,9.47320065801492e-09
1.54412332992327e-08,1.17788285142935e-08,1.02379977765892e-08
1.51157220881132e-08,9.65703311419898e-09,1.01766333570024e-08
1.49989611852848e-08,1.01908318506951e-08,1.01803510150872e-08
1.49425276407337e-08,7.89822558093723e-09,1.01977581674240e-08
1.50074562931535e-08,6.71590713453977e-09,9.98102863180257e-09
1.51893271658337e-08,6.17608735092615e-09,1.02344499202921e-08
1.53949735364204e-08,6.21344682022868e-09,1.04659419587814e-08
1.56515677697080e-08,6.07740514944420e-09,1.03180191176883e-08
1.58508099643274e-08,6.24890295456198e-09,1.01981368457576e-08
1.60008051740017e-08,6.10907177375361e-09,1.14344376335744e-08
1.62841218107943e-08,5.65237657152104e-09,1.24885674691477e-08
1.65809023750259e-08,5.64061698519933e-09,1.29138052035501e-08
1.69407640334414e-08,5.96744037352859e-09,1.31222713552700e-08
1.66002282345529e-08,6.48937019034465e-09,1.34222472302781e-08
1.58599885198646e-08,6.48933374309771e-09,1.33012812812172e-08
1.56361043883578e-08,7.52546141686447e-09,1.23233521375100e-08
1.53705971749635e-08,6.74371064831208e-09,1.28490632964309e-08
1.54106491918512e-08,7.29004973512866e-09,1.33900254972851e-08
1.54337158645190e-08,7.53514205938089e-09,1.14061045304607e-08
1.52781536349912e-08,7.94765803564234e-09,1.10328683032324e-08
1.52536897946204e-08,7.32929270644277e-09,1.12968595488379e-08
1.53418928257509e-08,7.15386175996034e-09,1.08828196363868e-08
1.54957846935859e-08,7.80273094754196e-09,1.18479434180532e-08
1.55577676117079e-08,7.49093431185779e-09,1.17868242107300e-08
1.62517585920713e-08,7.89554551137809e-09,1.17237432381158e-08
1.77645154341433e-08,7.67639504793896e-09,1.22629431409040e-08
1.79764919679065e-08,7.29147187912965e-09,1.24083528722648e-08
1.81205642952666e-08,6.99924331378194e-09,1.22555167849400e-08
1.86771686233071e-08,6.55511868982284e-09,1.19224114400455e-08
1.94081037370694e-08,6.17673062133074e-09,1.16713920210258e-08
2.03300904380139e-08,6.48658607570889e-09,1.05051976567299e-08
2.14582045135621e-08,6.69605860623011e-09,1.07009610835578e-08
2.24899733977709e-08,6.89378849885686e-09,1.05455863817319e-08
2.33032760726637e-08,7.11568233930507e-09,1.01220911475768e-08
2.42405793869570e-08,6.83711199216535e-09,9.77562257850685e-09
2.49241287916275e-08,7.59969621563564e-09,9.83645348846422e-09
2.54439186396464e-08,8.87435500305387e-09,9.42618444679947e-09
2.59353778589059e-08,6.28927863823558e-09,9.20599152700587e-09
2.62639086762803e-08,6.60441942573455e-09,9.12997449213178e-09
2.61221797094560e-08,5.75166260313687e-09,8.96948147447327e-09
2.49642609433266e-08,6.02381732837691e-09,8.69202822230743e-09
2.27344436780956e-08,5.82304496526245e-09,8.30301465027137e-09
2.40136725277915e-08,5.48910136323445e-09,8.38685898888756e-09
2.46128657649990e-08,5.48760417214507e-09,8.96655057107101e-09
2.45879551664092e-08,5.64916301621005e-09,8.20156664357842e-09
2.43435979475652e-08,5.37586722534528e-09,8.55257480846008e-09
2.41604736570810e-08,4.76685155034202e-09,8.66392735880402e-09
2.39255190710000e-08,6.05180811578457e-09,9.15224042906472e-09
2.37169588092580e-08,6.07958223169880e-09,1.02484807726837e-08
2.36095164204868e-08,5.55128418406932e-09,1.16409415062057e-08
2.38383426187540e-08,5.55518865317364e-09,1.04380768806094e-08
2.37495334043142e-08,6.66251825008907e-09,9.64642001636429e-09
2.34233422732155e-08,6.27712818356896e-09,9.52009726416826e-09
2.26349619578330e-08,5.98348234097982e-09,9.25940439554695e-09
2.22792857488110e-08,5.30106507404064e-09,8.95765572542746e-09
2.21263980396088e-08,6.03683319818360e-09,7.94662157899636e-09
2.23594076794298e-08,7.24770550431937e-09,7.72311532092794e-09
2.43940701199374e-08,7.86451140680016e-09,7.26055791842865e-09
2.46943293475068e-08,7.33889126335545e-09,7.45592228762395e-09
2.49539121135476e-08,7.47930517890557e-09,8.11690013860284e-09
2.50147117838709e-08,7.31811751703607e-09,8.20967283153431e-09
2.50388442274306e-08,7.65590374902905e-09,9.34910545439535e-09
2.52300931684583e-08,6.52404252985404e-09,9.25912461043758e-09
2.54240871654929e-08,7.13129867062687e-09,1.06704179974417e-08
2.56547138629385e-08,7.00404457359015e-09,1.06863187747482e-08
2.55703010285708e-08,6.72287813974751e-09,1.01539304802904e-08
2.56772692102604e-08,6.81544886115069e-09,9.75699349810491e-09
2.57757878274562e-08,7.15905363222611e-09,9.65314800446821e-09
2.56688003436926e-08,6.96383308189942e-09,9.65617100402172e-09
2.57181332100892e-08,7.35643718135369e-09,9.30847285563949e-09
2.57537006712164e-08,7.56741060167969e-09,9.03063559893915e-09
2.61256570812569e-08,6.94695828278814e-09,8.88711409872206e-09
2.66451080841574e-08,6.47450968852278e-09,8.83127863079301e-09
2.67144720795181e-08,5.74350969730217e-09,8.94578214583980e-09
2.69036577464244e-08,5.47217013516639e-09,9.45328458179217e-09
2.71052525176403e-08,6.01797959984203e-09,1.02207514615425e-08
2.73969868327755e-08,6.33406012504501e-09,1.06060863598236e-08
2.75977373253823e-08,6.33599744448552e-09,1.07055735335711e-08
2.77623561789378e-08,6.22893656450920e-09,1.06883418846179e-08
2.78218926197035e-08,6.14196659984862e-09,1.06107314284541e-08
2.79441402941066e-08,6.52772662162720e-09,1.04545461206067e-08
2.78806468491962e-08,6.96795407623129e-09,1.04527884754829e-08
2.71007032469231e-08,6.99483457654761e-09,1.03391807339661e-08
2.61797850361366e-08,6.65235207039297e-09,1.02207394015881e-08
2.50737597639182e-08,6.50136100959660e-09,1.02001399466368e-08
2.32984176522053e-08,9.01471553744613e-09,1.04572845618503e-08
2.30274627158679e-08,6.67312864523345e-09,1.05365490148274e-08
2.30663723015151e-08,6.57916846549589e-09,1.04237873600600e-08
2.31479324280582e-08,6.81757670666730e-09,1.06582620368494e-08
