#lab INRiM
#hv keithley6487
#s CNTArO2Etching_N1new
#t 2.7
#d 0.5
#V -62
#
#Time	Temp	Current
#s	K	pA	
402.091045	5.486000	-11.550420
403.092215	5.486000	-12.060330
404.091333	5.497000	-11.365800
405.091421	5.497000	-11.612240
406.091376	5.497000	-12.022430
407.091689	5.511000	-11.245820
408.091385	5.511000	-11.322430
409.091344	5.523000	-12.125390
410.092236	5.523000	-11.342300
411.092878	5.523000	-11.418900
412.092613	5.534000	-12.141390
413.094071	5.534000	-11.436930
414.094981	5.534000	-11.087940
415.095273	5.547000	-12.075320
416.095973	5.547000	-11.689050
417.095501	5.559000	-11.204680
418.096117	5.559000	-11.910360
419.095529	5.559000	-11.583660
420.096143	5.570000	-11.216030
421.096122	5.570000	-11.710330
422.095968	5.583000	-11.815710
423.096338	5.583000	-11.296690
424.096717	5.583000	-11.778620
425.096442	5.594000	-12.033980
426.097051	5.594000	-11.284930
427.097300	5.594000	-11.742960
428.097713	5.604000	-12.056880
429.097713	5.604000	-11.298510
430.097497	5.615000	-11.489620
431.098039	5.615000	-12.063970
432.097703	5.615000	-11.735660
433.097935	5.626000	-11.414840
434.098863	5.626000	-11.992640
435.098858	5.637000	-11.382620
436.098634	5.637000	-11.455580
437.098733	5.637000	-12.125990
438.100077	5.651000	-11.704450
439.100666	5.651000	-11.306420
440.101854	5.651000	-12.088900
441.101414	5.661000	-11.740730
442.101704	5.661000	-11.306210
443.101566	5.672000	-12.075320
444.101821	5.672000	-11.713160
445.102287	5.672000	-11.247840
446.101461	5.684000	-11.876910
447.102221	5.684000	-11.962840
448.103303	5.694000	-11.198190
449.104859	5.694000	-11.843070
450.104587	5.694000	-11.970350
451.104962	5.703000	-11.227990
452.104458	5.703000	-11.629060
453.104407	5.703000	-12.027290
454.105275	5.715000	-11.322830
455.105260	5.715000	-11.567450
456.104558	5.726000	-12.210700
457.104426	5.726000	-11.354650
458.104664	5.726000	-11.525900
459.104309	5.735000	-12.005810
460.105010	5.735000	-11.426800
461.105073	5.747000	-11.385460
462.104887	5.747000	-11.987770
463.104593	5.747000	-11.459220
464.105993	5.757000	-11.276830
465.105765	5.757000	-11.790380
466.106402	5.757000	-11.681950
467.106864	5.770000	-11.275200
468.106753	5.770000	-11.770310
469.108191	5.770000	-11.675660
470.108226	5.778000	-11.179550
471.107981	5.778000	-11.759170
472.107401	5.789000	-11.893130
473.107978	5.789000	-11.111050
474.109061	5.789000	-11.644250
475.108613	5.798000	-11.885020
476.108847	5.798000	-11.272370
477.110137	5.807000	-11.468750
478.109644	5.807000	-12.025470
479.109654	5.807000	-11.187250
480.109811	5.818000	-11.375120
481.109925	5.818000	-11.990810
482.109325	5.818000	-11.264060
483.110175	5.826000	-11.336820
484.109957	5.826000	-11.985340
485.109766	5.835000	-11.521850
486.109959	5.835000	-11.298710
487.110219	5.835000	-11.890490
488.111175	5.846000	-11.454360
489.110542	5.846000	-11.159690
490.110956	5.854000	-11.932650
491.112101	5.854000	-11.703840
492.111448	5.854000	-11.212990
493.111746	5.862000	-11.818350
494.111545	5.862000	-11.680940
495.111460	5.862000	-11.155840
496.112024	5.873000	-11.839220
497.111438	5.873000	-11.810840
498.111681	5.882000	-11.175700
499.111664	5.882000	-11.652770
500.111611	5.882000	-11.768690
501.112883	5.891000	-11.192920
502.114055	5.891000	-11.656020
503.113897	5.900000	-11.960410
504.113477	5.900000	-11.308240
505.113412	5.900000	-11.445240
506.113362	5.909000	-11.898400
507.114017	5.909000	-11.519620
508.114010	5.909000	-11.425580
509.113413	5.917000	-11.969330
510.113513	5.917000	-11.679110
511.113482	5.927000	-11.367010
512.114009	5.927000	-11.940960
513.115015	5.927000	-11.440980
514.114571	5.935000	-11.339450
515.114588	5.935000	-12.038040
516.114702	5.943000	-11.682970
517.115077	5.943000	-11.247040
518.116237	5.943000	-11.829290
519.116583	5.953000	-11.832940
520.116638	5.953000	-11.261220
521.117659	5.953000	-11.812270
522.118077	5.961000	-11.932250
523.118058	5.961000	-11.252710
524.117445	5.969000	-11.773150
525.117327	5.969000	-11.918470
526.117438	5.969000	-11.234470
527.117321	5.978000	-11.596830
528.118715	5.978000	-11.977240
529.118452	5.986000	-11.310070
530.118766	5.986000	-11.526720
531.119067	5.986000	-11.904680
532.118586	5.994000	-11.249070
533.118645	5.994000	-11.486380
534.118731	5.994000	-12.000750
535.118348	6.003000	-11.477870
536.118662	6.003000	-11.318380
537.118437	6.010000	-11.950080
538.119380	6.010000	-11.513740
539.119833	6.010000	-11.374920
540.119818	6.017000	-11.933060
541.120268	6.017000	-11.508270
542.120232	6.027000	-11.242780
543.120238	6.027000	-11.757950
544.119741	6.027000	-11.794440
545.120029	6.034000	-11.290410
546.119904	6.034000	-11.786730
547.120881	6.034000	-11.772140
548.121270	6.041000	-11.105170
549.121703	6.041000	-11.585490
550.122196	6.050000	-11.787740
551.121665	6.050000	-11.285340
552.122935	6.050000	-11.591770
553.122464	6.057000	-11.956970
554.124091	6.057000	-11.303170
555.124541	6.064000	-11.546980
556.125237	6.064000	-11.968720
557.124298	6.064000	-11.338240
558.126252	6.074000	-11.324860
559.125367	6.074000	-11.868610
560.126398	6.074000	-11.459830
561.126438	6.082000	-11.255950
562.126705	6.082000	-11.868200
563.126760	6.089000	-11.526110
564.126551	6.089000	-11.240750
565.126924	6.089000	-12.008850
566.128035	6.098000	-11.637980
567.127335	6.098000	-11.142460
568.127687	6.106000	-11.889690
569.128496	6.106000	-11.548190
570.129271	6.106000	-11.185630
571.130248	6.114000	-11.894750
572.129867	6.114000	-11.986350
573.130391	6.124000	-11.428420
574.130657	6.124000	-11.730790
575.130751	6.124000	-11.916640
576.132253	6.132000	-11.452130
577.131379	6.132000	-11.706270
578.132760	6.132000	-11.889480
579.132668	6.139000	-11.251490
580.133206	6.139000	-11.533200
581.132967	6.149000	-11.835780
582.133888	6.149000	-11.457810
583.133722	6.149000	-11.466320
584.133704	6.156000	-11.994260
585.133855	6.156000	-11.758360
586.134747	6.164000	-11.392140
587.135916	6.164000	-11.956970
588.135756	6.164000	-11.798490
589.135596	6.173000	-11.518400
590.136840	6.173000	-11.994050
591.136907	6.173000	-11.710120
592.136650	6.182000	-11.364380
593.137555	6.182000	-12.032570
594.139065	6.189000	-11.829690
595.139079	6.189000	-11.146920
596.139401	6.189000	-11.808820
597.140856	6.199000	-11.881980
598.140705	6.199000	-11.299320
599.140550	6.199000	-11.757340
600.141616	6.207000	-12.042900
601.141667	6.207000	-11.287970
602.141745	6.215000	-11.576570
603.142919	6.215000	-11.985750
604.142311	6.215000	-11.473620
605.142791	6.224000	-11.522250
606.142625	6.224000	-11.835170
607.142352	6.232000	-11.333170
608.144096	6.232000	-11.624600
609.145264	6.232000	-11.838200
610.145777	6.239000	-11.391130
611.146817	6.239000	-11.398630
612.146812	6.249000	-11.903060
613.146405	6.249000	-11.631700
614.146454	6.249000	-11.371270
615.147742	6.256000	-11.811650
616.147645	6.256000	-11.737490
617.148206	6.256000	-11.387280
618.147479	6.264000	-11.808620
619.148278	6.264000	-11.804360
620.149050	6.273000	-11.281280
621.148304	6.273000	-11.613250
622.148390	6.273000	-11.817740
623.148407	6.281000	-11.421120
624.148482	6.281000	-11.607570
625.148642	6.289000	-11.943390
626.148610	6.289000	-11.354250
627.148744	6.289000	-11.556300
628.150032	6.299000	-12.013510
629.149823	6.299000	-11.424170
630.151009	6.299000	-11.518610
631.150733	6.307000	-11.799090
632.150467	6.307000	-11.524890
633.152195	6.315000	-11.313310
634.152020	6.315000	-12.092950
635.151762	6.315000	-11.551840
636.151751	6.324000	-11.280070
637.151847	6.324000	-11.901440
638.151593	6.332000	-11.515160
639.151551	6.332000	-11.256560
640.151321	6.332000	-11.830300
641.151338	6.340000	-11.618520
642.151911	6.340000	-11.413620
643.152918	6.340000	-11.739100
644.152375	6.350000	-11.771940
645.153067	6.350000	-11.364990
646.153082	6.358000	-11.789160
647.154087	6.358000	-11.758150
648.153742	6.358000	-11.302970
649.153587	6.365000	-11.675270
650.154098	6.365000	-11.865970
651.155260	6.375000	-11.474630
652.154882	6.375000	-11.627630
653.156155	6.375000	-11.894950
654.156558	6.384000	-11.489820
655.156451	6.384000	-11.615680
656.156471	6.384000	-11.953730
657.156829	6.391000	-11.558320
658.156691	6.391000	-11.517390
659.156487	6.401000	-11.964870
660.157786	6.401000	-11.572100
661.158601	6.401000	-11.258790
662.160130	6.408000	-11.836580
663.161086	6.408000	-11.705870
664.160308	6.416000	-11.296690
665.160517	6.416000	-11.899410
666.160939	6.416000	-11.783080
667.160406	6.426000	-11.232040
668.160690	6.426000	-11.946220
669.160817	6.426000	-11.872250
670.160799	6.434000	-11.330730
671.160843	6.434000	-11.883400
672.160695	6.441000	-11.760580
673.162246	6.441000	-11.384240
674.161301	6.441000	-11.762610
675.163123	6.451000	-11.867190
676.162894	6.451000	-11.470570
677.164289	6.459000	-11.649720
678.163602	6.459000	-11.906510
679.163786	6.459000	-11.361950
680.163314	6.467000	-11.502190
681.163379	6.467000	-11.807600
682.165056	6.467000	-11.535420
683.166203	6.477000	-11.542320
684.165529	6.477000	-11.860900
685.167227	6.485000	-11.448080
686.166534	6.485000	-11.582040
687.166565	6.485000	-11.835970
688.168206	6.492000	-11.620140
689.169120	6.492000	-11.382820
690.168521	6.502000	-11.742540
691.168960	6.502000	-11.617500
692.168787	6.502000	-11.172860
693.169212	6.509000	-11.533400
694.169099	6.509000	-11.693100
695.169998	6.509000	-11.457800
696.170712	6.516000	-11.610410
697.170846	6.516000	-11.757750
698.170987	6.526000	-11.345530
699.170713	6.526000	-11.530560
700.171854	6.526000	-11.824830
701.172234	6.533000	-11.184210
702.171915	6.533000	-11.383630
703.172034	6.541000	-11.712550
704.171674	6.541000	-11.443810
705.171530	6.541000	-11.297290
706.172202	6.551000	-11.838400
707.172089	6.551000	-11.529340
708.171324	6.551000	-11.510090
709.171337	6.559000	-11.845290
710.171528	6.559000	-11.766050
711.171558	6.566000	-11.365190
712.172033	6.566000	-11.810440
713.172102	6.566000	-11.450100
714.172995	6.576000	-11.248450
715.172841	6.576000	-11.950080
716.174155	6.584000	-11.761190
717.173804	6.584000	-11.382410
718.175286	6.584000	-11.750250
719.174768	6.592000	-11.727140
720.174375	6.592000	-11.450910
721.174390	6.592000	-11.588920
722.175030	6.601000	-11.810640
723.174361	6.601000	-11.385660
724.174741	6.609000	-11.771520
725.175030	6.609000	-11.708090
726.175756	6.609000	-11.533600
727.176299	6.617000	-11.548400
728.176462	6.617000	-11.889680
729.177792	6.626000	-11.429020
730.177483	6.626000	-11.542720
731.177683	6.626000	-11.911360
732.179099	6.633000	-11.650940
733.178967	6.633000	-11.501980
734.178330	6.633000	-11.831520
735.178597	6.641000	-11.551030
736.180047	6.641000	-11.505020
737.179672	6.650000	-11.864340
738.179460	6.650000	-11.692490
739.179853	6.650000	-11.398220
740.179605	6.658000	-11.874280
741.179764	6.658000	-11.820570
742.180238	6.665000	-11.385250
743.180269	6.665000	-11.707280
744.179977	6.665000	-11.799490
745.180243	6.674000	-11.335390
746.179765	6.674000	-11.823410
747.180013	6.674000	-11.846310
748.180060	6.682000	-11.377750
749.179303	6.682000	-11.785710
750.179747	6.690000	-11.905900
751.179964	6.690000	-11.356880
752.180517	6.690000	-11.520020
753.180826	6.699000	-11.927380
754.180971	6.699000	-11.502590
755.180432	6.706000	-11.531370
756.180320	6.706000	-11.969320
757.180531	6.706000	-11.483940
758.180761	6.716000	-11.378150
759.180647	6.716000	-11.892520
760.180886	6.716000	-11.584670
761.181109	6.723000	-11.547990
762.180517	6.723000	-11.831110
763.181003	6.730000	-11.460840
764.182234	6.730000	-11.331340
765.182195	6.730000	-11.783480
766.181523	6.738000	-11.554270
767.182084	6.738000	-11.500560
768.183271	6.738000	-11.747410
769.182792	6.746000	-11.647700
770.184201	6.746000	-11.372280
771.183877	6.754000	-11.641820
772.184989	6.754000	-11.808820
773.184983	6.754000	-11.454150
774.184330	6.764000	-11.706260
775.184585	6.764000	-11.748010
776.184969	6.771000	-11.472600
777.184775	6.771000	-11.265270
778.184672	6.771000	-12.094160
779.186233	6.779000	-11.537650
780.185415	6.779000	-11.411790
781.185930	6.779000	-11.624800
782.185595	6.788000	-11.487590
783.185869	6.788000	-11.543330
784.186314	6.796000	-11.878330
785.186708	6.796000	-11.541500
786.187236	6.796000	-11.507050
787.186774	6.803000	-11.805370
788.186330	6.803000	-11.535020
789.186722	6.813000	-11.391130
790.186699	6.813000	-11.974800
791.187012	6.813000	-11.607370
792.186866	6.821000	-11.440780
793.187742	6.821000	-11.738700
794.187865	6.821000	-11.681340
795.189243	6.828000	-11.389910
796.188450	6.828000	-11.789160
797.190089	6.837000	-11.754910
798.189307	6.837000	-11.447270
799.189478	6.837000	-11.622160
800.189561	6.844000	-11.789560
801.189823	6.844000	-11.388490
802.190143	6.852000	-11.741330
803.189319	6.852000	-11.807800
804.189932	6.852000	-11.414630
805.189567	6.862000	-11.726940
806.191253	6.862000	-11.777000
807.190557	6.862000	-11.453140
808.190579	6.870000	-11.564200
809.190561	6.870000	-11.842660
810.190548	6.878000	-11.460440
811.190570	6.878000	-11.486380
812.190783	6.878000	-11.741130
813.190927	6.888000	-11.514340
814.190371	6.888000	-11.449690
815.191038	6.896000	-11.886030
816.190458	6.896000	-11.723290
817.190817	6.896000	-11.225750
818.190886	6.905000	-11.707080
819.190785	6.905000	-11.604730
820.190726	6.905000	-11.506840
821.191023	6.915000	-11.915620
822.190330	6.915000	-11.777200
823.191831	6.915000	-11.469960
824.193231	6.925000	-11.781860
825.192593	6.925000	-11.753890
826.192405	6.934000	-11.283910
827.193479	6.934000	-11.781250
828.194968	6.934000	-11.615270
829.194597	6.942000	-11.326680
830.195398	6.942000	-11.600280
831.196286	6.953000	-11.897780
832.197284	6.953000	-11.483740
833.196353	6.953000	-11.428620
834.196933	6.962000	-11.760580
835.196773	6.962000	-11.381600
836.196644	6.962000	-11.463480
837.196803	6.970000	-11.979860
838.196895	6.970000	-11.431660
839.197185	6.981000	-11.449290
840.196649	6.981000	-11.841850
841.197677	6.981000	-11.552850
842.197415	6.990000	-11.508260
843.198387	6.990000	-11.906500
844.198576	6.999000	-11.606960
845.199058	6.999000	-11.362140
846.199178	6.999000	-11.980470
847.198345	7.011000	-11.713360
848.198828	7.011000	-11.429830
849.198712	7.011000	-11.829280
850.198623	7.020000	-11.669790
851.198670	7.020000	-11.250270
852.199142	7.030000	-11.582240
853.198680	7.030000	-11.648100
854.199588	7.030000	-11.558320
855.201255	7.041000	-11.619320
856.201014	7.041000	-11.751860
857.200456	7.049000	-11.448890
858.201879	7.049000	-11.556500
859.202955	7.049000	-11.830910
860.202519	7.058000	-11.941970
