#lab INRiM
#hv keithley6487
#s PECVD_FE_INRIM_001
#t 2.7 
#d 0.5
#N 20
#dbm 1
#
#Voltage	Temperature	Current	SD
#V	K	pA	pA
189.200000	2.999000	-10.647290	3.399438
189.100000	2.985000	-10.302030	3.326394
189.000000	3.000000	-10.455330	2.295662
188.900000	2.985000	-10.020240	3.328588
188.800000	2.966000	-9.833716	2.311579
188.700000	2.982000	-9.699575	3.817426
188.600000	2.999000	-9.509712	2.376501
188.500000	3.011000	-9.305669	2.687321
188.400000	3.015000	-9.246620	2.087541
188.300000	3.013000	-9.085647	2.504947
188.200000	3.003000	-8.955582	2.421425
188.100000	2.989000	-8.843351	2.652908
188.000000	2.975000	-8.762819	2.987805
187.900000	2.990000	-8.510682	3.246603
187.800000	2.976000	-8.427566	4.056866
187.700000	2.966000	-8.064304	4.106389
187.600000	2.960000	-8.329775	3.741541
187.500000	2.957000	-7.618069	2.491820
187.400000	3.015000	-7.607224	3.683541
187.300000	3.014000	-7.745908	3.456364
187.200000	3.015000	-7.429632	4.472167
187.100000	3.015000	-7.127421	3.736840
187.000000	3.015000	-7.256193	3.791434
186.900000	3.015000	-7.081536	3.606833
186.800000	3.007000	-7.218900	3.190732
186.700000	2.993000	-6.955262	2.859719
186.600000	3.007000	-6.646400	4.134184
186.500000	2.993000	-6.416212	3.300423
186.400000	2.980000	-6.411345	4.216085
186.300000	2.969000	-6.643207	4.260761
186.200000	2.962000	-6.389398	4.386393
186.100000	2.969000	-6.188741	4.340342
186.000000	2.961000	-6.014648	4.706905
185.900000	2.957000	-5.748002	4.326539
185.800000	2.957000	-5.770203	4.813813
185.700000	2.964000	-6.003063	5.302657
185.600000	2.979000	-5.322861	3.974403
185.500000	2.964000	-5.385779	4.178285
185.400000	2.979000	-5.609520	2.789210
185.300000	2.963000	-5.197578	4.281589
185.200000	2.978000	-4.665694	4.317125
185.100000	2.998000	-4.688460	4.013425
185.000000	2.983000	-4.909059	3.172339
184.900000	2.971000	-5.074479	3.347341
184.800000	2.963000	-5.144092	4.025027
184.700000	2.972000	-4.689200	3.157414
184.600000	2.963000	-4.508947	3.188679
184.500000	2.958000	-4.655686	3.021088
184.400000	2.957000	-4.605575	3.193225
184.300000	2.962000	-4.035176	5.276679
184.200000	2.975000	-4.011190	5.349316
184.100000	2.993000	-4.733891	5.074842
184.000000	2.974000	-4.291312	4.287800
183.900000	2.992000	-3.721924	4.856371
183.800000	3.006000	-3.798227	3.726916
183.700000	3.014000	-3.537062	5.151238
183.600000	3.016000	-3.874967	4.906108
183.500000	2.959000	-3.902537	5.564392
183.400000	2.957000	-3.710980	5.363139
183.300000	2.959000	-3.689386	5.280423
183.200000	2.956000	-3.612616	5.277386
183.100000	2.958000	-3.452870	3.486802
183.000000	2.969000	-3.152577	4.972785
182.900000	2.985000	-3.308475	5.157505
182.800000	3.002000	-3.492930	5.317935
182.700000	3.012000	-2.826663	4.933459
182.600000	3.016000	-3.062309	3.685347
182.500000	3.012000	-3.084053	4.875143
182.400000	3.001000	-3.021446	4.160035
182.300000	2.986000	-2.697180	5.553122
182.200000	2.957000	-2.902969	5.450159
182.100000	2.957000	-2.919878	3.912900
182.000000	2.964000	-2.423112	3.638926
181.900000	2.979000	-2.933939	3.033623
181.800000	2.997000	-2.694883	3.739768
181.700000	3.010000	-2.399000	3.763559
181.600000	3.016000	-2.515798	3.675217
181.500000	3.014000	-2.795795	3.376956
181.400000	3.005000	-2.338901	3.439095
181.300000	2.992000	-2.311976	4.657121
181.200000	2.978000	-2.733824	5.251863
181.100000	2.975000	-2.364648	4.548278
181.000000	2.993000	-2.057208	3.864503
180.900000	2.973000	-2.274118	3.986260
180.800000	2.991000	-2.026261	5.475486
180.700000	3.005000	-1.968947	4.543200
180.600000	3.014000	-2.003903	3.823552
180.500000	3.016000	-2.283602	3.031370
180.400000	3.010000	-2.063109	3.799814
180.300000	2.997000	-1.752210	5.067423
180.200000	2.983000	-2.103873	4.739698
180.100000	2.971000	-1.985227	3.323397
180.000000	2.963000	-1.828018	2.661141
179.900000	2.958000	-1.685929	2.970463
179.800000	3.013000	-1.744240	2.849359
179.700000	3.016000	-1.985764	4.221674
179.600000	3.013000	-1.396626	3.405581
179.500000	3.002000	-1.738909	2.711084
179.400000	2.987000	-1.855992	2.222095
179.300000	2.974000	-1.477105	2.418616
179.200000	2.965000	-1.264072	3.803181
179.100000	2.975000	-1.792953	3.095241
179.000000	2.966000	-1.580085	3.516255
178.900000	2.960000	-1.306363	2.898010
178.800000	2.957000	-1.692060	2.583535
178.700000	2.958000	-1.295247	2.229673
178.600000	2.957000	-1.243085	3.013308
178.500000	3.015000	-1.372828	1.984184
178.400000	3.015000	-1.226272	2.257130
178.300000	3.008000	-1.261576	2.250161
178.200000	2.995000	-1.137216	2.399160
178.100000	2.981000	-1.260992	2.214775
178.000000	2.969000	-1.099935	2.696638
177.900000	2.962000	-1.276811	3.098904
177.800000	2.957000	-1.163140	3.904354
177.700000	2.957000	-1.032956	3.062238
177.600000	2.963000	-1.309289	3.015400
177.500000	2.977000	-0.944397	3.919200
177.400000	2.999000	-0.831928	4.372103
177.300000	2.985000	-1.162950	3.782920
177.200000	2.972000	-1.015741	2.962404
177.100000	2.964000	-0.899301	4.135985
177.000000	2.958000	-0.862723	3.123683
176.900000	2.964000	-1.143466	2.779156
176.800000	2.959000	-0.847770	3.429485
176.700000	2.956000	-0.730923	3.364411
176.600000	2.959000	-0.726292	2.883891
176.500000	2.971000	-0.697842	1.979622
176.400000	2.989000	-0.765014	2.606496
176.300000	3.005000	-1.015149	2.986825
176.200000	3.013000	-0.732404	2.470660
176.100000	3.004000	-0.612318	3.459492
176.000000	2.975000	-0.868554	3.303713
175.900000	2.966000	-0.678766	2.713541
175.800000	2.960000	-0.668082	2.274995
175.700000	2.957000	-0.816192	3.625630
175.600000	2.958000	-0.572327	3.208043
175.500000	2.967000	-0.665930	2.936790
175.400000	2.958000	-0.715035	3.338873
175.300000	2.966000	-0.722836	3.041170
175.200000	2.983000	-0.561077	2.085782
175.100000	3.000000	-0.347322	3.337180
175.000000	3.011000	-0.765548	2.909113
174.900000	3.016000	-0.362801	2.754585
174.800000	2.961000	-0.406482	1.399125
174.700000	2.958000	-0.596105	2.029456
174.600000	2.957000	-0.444898	2.626371
174.500000	2.964000	-0.307980	2.763757
174.400000	2.979000	-0.527507	2.652652
174.300000	2.996000	-0.507373	2.237585
174.200000	3.010000	-0.267528	2.155138
174.100000	3.016000	-0.658201	2.884530
174.000000	3.014000	-0.467428	3.384918
173.900000	3.006000	-0.277269	3.964449
173.800000	2.992000	-0.382855	2.225674
173.700000	2.961000	-0.541579	3.236634
173.600000	2.956000	-0.247558	3.843907
173.500000	2.960000	-0.170200	4.234964
173.400000	2.974000	-0.657449	2.813142
173.300000	2.992000	-0.232243	2.347509
173.200000	3.006000	-0.192726	2.828113
173.100000	3.014000	-0.497246	3.043616
173.000000	3.015000	-0.108003	3.307229
172.900000	3.008000	-0.070143	1.703471
172.800000	3.015000	-0.522743	2.115356
172.700000	3.008000	-0.217330	2.960660
172.600000	2.996000	-0.070715	3.591639
172.500000	2.981000	-0.378602	2.651158
172.400000	2.969000	-0.057962	1.745900
172.300000	2.990000	-0.344458	3.235970
172.200000	3.006000	-0.286652	3.769092
172.100000	3.014000	-0.010138	3.641974
172.000000	3.016000	-0.549322	2.008939
171.900000	3.009000	0.054860	2.444952
171.800000	2.996000	0.080044	3.132402
171.700000	2.981000	-0.245801	3.646330
171.600000	2.969000	-0.122501	2.305232
171.500000	2.961000	-0.137407	2.016076
171.400000	2.957000	-0.083037	2.568595
171.300000	3.014000	-0.146157	3.108398
171.200000	3.015000	-0.374169	2.785008
171.100000	3.009000	-0.168820	3.701268
171.000000	2.996000	-0.051958	2.630779
170.900000	2.981000	-0.283518	2.595914
170.800000	2.970000	-0.208367	2.018899
170.700000	2.962000	0.100935	2.689961
170.600000	2.971000	-0.066219	2.517204
170.500000	2.963000	-0.139847	1.932054
170.400000	2.958000	-0.053510	1.981325
170.300000	2.957000	-0.148454	2.261499
170.200000	3.016000	-0.063487	2.726977
170.100000	3.011000	0.114305	2.838040
170.000000	2.999000	-0.156714	2.294133
