#lab INRiM
#hv keithley6487
#s CNTArO2Etching_AsGrown_N1new_b
#t variable
#d 1.0
#V -350
#
#Time	Temp	Current
# s	K	pA	
933.084017	80.645000	-68.276180
936.083313	80.638000	-57.834110
939.084718	80.632000	-66.810370
942.084169	80.617000	-60.622230
945.084115	80.611000	-61.156080
948.085371	80.602000	-65.506500
951.086047	80.596000	-68.261370
954.085783	80.589000	-69.051450
957.087007	80.581000	-67.397910
960.087006	80.574000	-93.303160
963.086510	80.559000	-69.454930
966.087871	80.554000	-69.103080
969.087140	80.545000	-67.005900
972.088046	80.538000	-68.063700
975.088556	80.532000	-67.583150
978.088139	80.525000	-72.224810
981.088551	80.511000	-83.314040
984.089893	80.503000	-76.261850
987.089286	80.495000	-70.749860
990.089630	80.489000	-78.376430
993.089206	80.483000	-79.142750
996.089153	80.474000	-74.639770
999.089783	80.460000	-76.865400
1002.090377	80.451000	-80.684790
1005.090873	80.448000	-74.715930
1008.090325	80.439000	-80.182710
1011.091422	80.432000	-76.650140
1014.092925	80.424000	-83.897490
1017.092439	80.419000	-79.087380
1020.093141	80.410000	-84.089410
1023.097927	80.403000	-80.181700
1026.097818	80.393000	-83.872920
1029.098937	80.377000	-74.906200
1032.099843	80.372000	-78.932490
1035.099916	80.363000	-71.140110
1038.100004	80.356000	-69.508900
1041.099937	80.351000	-63.963470
1044.100633	80.342000	-70.307880
1047.100984	80.335000	-69.011310
1050.100164	80.320000	-65.886310
1053.100295	80.314000	-68.125370
1056.101006	80.307000	-71.999640
1059.100076	80.299000	-70.833630
1062.100574	80.293000	-66.437810
1065.100503	80.286000	-71.218680
1068.100390	80.272000	-70.161710
1071.101074	80.264000	-61.304430
1074.100786	80.257000	-61.104780
1077.100368	80.250000	-67.743250
1080.101009	80.243000	-69.661650
1083.100806	80.235000	-59.384780
1086.100866	80.222000	-67.002040
1089.100119	80.213000	-70.398780
1092.100607	80.207000	-69.022550
1095.100708	80.199000	-60.216790
1098.101110	80.191000	-74.695450
1101.101842	80.185000	-70.459990
1104.101263	80.178000	-67.772830
1107.102603	80.165000	-75.253050
1110.103601	80.157000	-73.315180
1113.103467	80.148000	-66.157020
1116.103964	80.141000	-64.495810
1119.104909	80.134000	-69.243670
1122.104256	80.126000	-69.585590
1125.104579	80.120000	-68.079450
1128.105693	80.105000	-67.079580
1131.105546	80.099000	-75.138440
1134.105792	80.093000	-66.542680
1137.106038	80.084000	-55.624720
1140.106366	80.077000	-61.087240
1143.106285	80.071000	-61.838380
1146.106389	80.055000	-57.626230
1149.106517	80.049000	-60.781770
1152.107936	80.040000	-63.387290
1155.107862	80.034000	-61.068790
1158.108891	80.028000	-59.319620
1161.108942	80.019000	-53.998170
1164.109002	80.006000	-53.594430
1167.108491	79.997000	-51.687370
1170.108226	79.990000	-52.361710
1173.108079	79.983000	-58.286310
1176.108947	79.976000	-53.316110
1179.108698	79.968000	-56.032680
1182.108950	79.962000	-55.777290
1185.109286	79.947000	-56.577890
1188.109382	79.940000	-57.188780
1191.109400	79.933000	-53.922720
1194.110218	79.925000	-58.055630
1197.110762	79.917000	-50.133180
1200.110842	79.910000	-50.929730
1203.111971	79.895000	-56.412470
1206.111602	79.888000	-50.475700
1209.111385	79.882000	-53.567390
1212.111842	79.875000	-50.012950
1215.111571	79.866000	-58.163020
1218.111205	79.858000	-50.809920
1221.111638	79.853000	-54.569470
1224.112675	79.837000	-50.984610
